year,GEOID,NAME,total_malesE,total_malesM,male_insuredE,male_insuredM,male_uninsuredE,male_uninsuredM,total_femalesE,total_femalesM,female_insuredE,female_insuredM,female_uninsuredE,female_uninsuredM,pct_male_insured,pct_female_insured,total_pop,total_insured,pct_pop_insured
2020,51001,"Accomack County, Virginia",2610,144,2387,213,223,153,2133,183,1944,201,189,90,91.455938697318,91.13924050632912,4743,4331,91.3135146531731
2020,51005,"Alleghany County, Virginia",1147,124,1059,150,88,68,998,106,973,102,25,21,92.32781168265039,97.49498997995993,2145,2032,94.73193473193473
2020,51007,"Amelia County, Virginia",1177,156,1157,159,20,31,1137,197,1056,183,81,84,98.30076465590484,92.87598944591029,2314,2213,95.6352636127917
2020,51011,"Appomattox County, Virginia",1201,149,1176,155,25,32,1342,122,1270,130,72,60,97.918401332223155,94.63487332339791,2543,2446,96.18560755013763
2020,51013,"Arlington County, Virginia",14040,301,13582,292,458,214,13837,357,13402,385,435,159,96.73789173789173,96.85625496856255,27877,26984,96.79664239337087
2020,51017,"Bath County, Virginia",352,154,352,154,0,13,99,70,99,70,0,13,100,100,451,451,100
2020,51019,"Bedford County, Virginia",5504,390,5377,420,127,128,5874,232,5658,244,216,124,97.69258720930233,96.32277834525026,11378,11035,96.98541044120232
2020,51023,"Botetourt County, Virginia",2552,122,2401,196,151,141,2610,108,2573,101,37,35,94.08307210031349,98.5823754789272,5162,4974,96.35800077489345
2020,51025,"Brunswick County, Virginia",1069,134,1058,135,11,18,890,154,890,154,0,20,98.97100093545369,100,1959,1948,99.43848902501277
2020,51029,"Buckingham County, Virginia",1044,63,995,76,49,49,1196,99,1121,108,75,58,95.3065134099617,93.72909698996655,2240,2116,94.46428571428571
2020,51031,"Campbell County, Virginia",4037,196,3831,225,206,109,3983,186,3745,223,238,122,94.8972008917513,94.02460456942003,8020,7576,94.46384039900249
2020,51035,"Carroll County, Virginia",2143,113,2037,127,106,93,1791,148,1602,158,189,115,95.0536630891274,89.44723618090453,3934,3639,92.50127097102187
2020,51036,"Charles City County, Virginia",471,49,446,50,25,20,394,29,386,29,8,9,94.69214437367303,97.96954314720813,865,832,96.18497109826589
2020,51037,"Charlotte County, Virginia",1263,150,1185,152,78,60,898,99,850,103,48,46,93.82422802850357,94.65478841870824,2161,2035,94.16936603424341
2020,51043,"Clarke County, Virginia",1146,108,1057,128,89,61,1163,107,1081,123,82,69,92.23385689354275,92.94926913155632,2309,2138,92.59419662191425
2020,51045,"Craig County, Virginia",287,99,287,99,0,18,327,115,327,115,0,18,100,100,614,614,100
2020,51049,"Cumberland County, Virginia",777,186,696,198,81,87,857,191,619,166,238,139,89.57528957528957,72.2287047841307,1634,1315,80.47735618115055
2020,51051,"Dickenson County, Virginia",1054,89,1012,88,42,40,1018,52,1002,53,16,18,96.01518026565465,98.42829076620825,2072,2014,97.2007722007722
2020,51057,"Essex County, Virginia",738,155,738,155,0,20,809,162,799,160,10,17,100,98.76390605686032,1547,1537,99.35358758888171
