"variable_code","human_label"
"B14005_001E","Sex by School Enrollment by Educational Attainment by Employment Status for the Population 16 to 19 Years -> Estimate!!Total:"
"B14005_002E","Sex by School Enrollment by Educational Attainment by Employment Status for the Population 16 to 19 Years -> Estimate!!Total:!!Male:"
"B14005_003E","Sex by School Enrollment by Educational Attainment by Employment Status for the Population 16 to 19 Years -> Estimate!!Total:!!Male:!!Enrolled in school:"
"B14005_005E","Sex by School Enrollment by Educational Attainment by Employment Status for the Population 16 to 19 Years -> Estimate!!Total:!!Male:!!Enrolled in school:!!Unemployed"
"B14005_004E","Sex by School Enrollment by Educational Attainment by Employment Status for the Population 16 to 19 Years -> Estimate!!Total:!!Male:!!Enrolled in school:!!Employed"
"B14005_006E","Sex by School Enrollment by Educational Attainment by Employment Status for the Population 16 to 19 Years -> Estimate!!Total:!!Male:!!Enrolled in school:!!Not in labor force"
"B14005_007E","Sex by School Enrollment by Educational Attainment by Employment Status for the Population 16 to 19 Years -> Estimate!!Total:!!Male:!!Not enrolled in school:"
"B14005_008E","Sex by School Enrollment by Educational Attainment by Employment Status for the Population 16 to 19 Years -> Estimate!!Total:!!Male:!!Not enrolled in school:!!High school graduate (includes equivalency):"
"B14005_009E","Sex by School Enrollment by Educational Attainment by Employment Status for the Population 16 to 19 Years -> Estimate!!Total:!!Male:!!Not enrolled in school:!!High school graduate (includes equivalency):!!Employed"
"B14005_010E","Sex by School Enrollment by Educational Attainment by Employment Status for the Population 16 to 19 Years -> Estimate!!Total:!!Male:!!Not enrolled in school:!!High school graduate (includes equivalency):!!Unemployed"
"B14005_011E","Sex by School Enrollment by Educational Attainment by Employment Status for the Population 16 to 19 Years -> Estimate!!Total:!!Male:!!Not enrolled in school:!!High school graduate (includes equivalency):!!Not in labor force"
"B14005_012E","Sex by School Enrollment by Educational Attainment by Employment Status for the Population 16 to 19 Years -> Estimate!!Total:!!Male:!!Not enrolled in school:!!Not high school graduate:"
"B14005_013E","Sex by School Enrollment by Educational Attainment by Employment Status for the Population 16 to 19 Years -> Estimate!!Total:!!Male:!!Not enrolled in school:!!Not high school graduate:!!Employed"
"B14005_014E","Sex by School Enrollment by Educational Attainment by Employment Status for the Population 16 to 19 Years -> Estimate!!Total:!!Male:!!Not enrolled in school:!!Not high school graduate:!!Unemployed"
"B14005_016E","Sex by School Enrollment by Educational Attainment by Employment Status for the Population 16 to 19 Years -> Estimate!!Total:!!Female:"
"B14005_015E","Sex by School Enrollment by Educational Attainment by Employment Status for the Population 16 to 19 Years -> Estimate!!Total:!!Male:!!Not enrolled in school:!!Not high school graduate:!!Not in labor force"
"B14005_017E","Sex by School Enrollment by Educational Attainment by Employment Status for the Population 16 to 19 Years -> Estimate!!Total:!!Female:!!Enrolled in school:"
"B14005_018E","Sex by School Enrollment by Educational Attainment by Employment Status for the Population 16 to 19 Years -> Estimate!!Total:!!Female:!!Enrolled in school:!!Employed"
"B14005_019E","Sex by School Enrollment by Educational Attainment by Employment Status for the Population 16 to 19 Years -> Estimate!!Total:!!Female:!!Enrolled in school:!!Unemployed"
"B14005_020E","Sex by School Enrollment by Educational Attainment by Employment Status for the Population 16 to 19 Years -> Estimate!!Total:!!Female:!!Enrolled in school:!!Not in labor force"
"B14005_021E","Sex by School Enrollment by Educational Attainment by Employment Status for the Population 16 to 19 Years -> Estimate!!Total:!!Female:!!Not enrolled in school:"
"B14005_022E","Sex by School Enrollment by Educational Attainment by Employment Status for the Population 16 to 19 Years -> Estimate!!Total:!!Female:!!Not enrolled in school:!!High school graduate (includes equivalency):"
"B14005_023E","Sex by School Enrollment by Educational Attainment by Employment Status for the Population 16 to 19 Years -> Estimate!!Total:!!Female:!!Not enrolled in school:!!High school graduate (includes equivalency):!!Employed"
"B14005_024E","Sex by School Enrollment by Educational Attainment by Employment Status for the Population 16 to 19 Years -> Estimate!!Total:!!Female:!!Not enrolled in school:!!High school graduate (includes equivalency):!!Unemployed"
