County Name,fips_code,State,# per 100K 2020,# per 100K 2021,# per 100K 2022,# per 100K 2023,# per 100K 2024,# per 100K 2025,# per 100K All Years,2020 Positive Severe Depression,2020 Total Depression Responses,2021 Positive Severe Depression,2021 Total Depression Responses,2022 Positive Severe Depression,2022 Total Depression Responses,2023 Positive Severe Depression,2023 Total Depression Responses,2024 Positive Severe Depression,2024 Total Depression Responses,2025 Positive Severe Depression,2025 Total Depression Responses,Positive Severe Depression,Total Depression Responses,Population_2020,Population_2021,Population_2022,Population_2023,Population_2024,Population_2025
Albemarle,51003,Virginia,28.05531999,38.894875441,45.908705438,28.529946934,20.287962264,16.48396934,29.586611636,44,168,61,223,72,231,45,167,32,124,26,63,280,976,156833,156833,156833,157729,157729,157729
Alexandria,51510,Virginia,25.216930259,27.156694125,16.164698884,25.364533878,14.308198598,6.503726635,19.185993574,39,138,42,184,25,159,39,144,22,105,10,64,177,794,154658,154658,154658,153758,153758,153758
Arlington,51013,Virginia,27.071269346,28.763223681,33.4160981,25.374592421,17.339304821,19.030944315,25.163137484,64,309,68,315,79,304,60,281,41,208,45,142,357,1559,236413,236413,236413,236457,236457,236457
Augusta,51015,Virginia,35.572560118,50.592085501,30.039050766,36.047614196,29.778463901,24.292957393,34.219112027,45,120,64,164,38,129,46,126,38,94,31,84,262,717,126502,126502,126502,127609,127609,127609
Bedford,51019,Virginia,18.77982364,42.681417365,44.388674059,23.842976966,32.358325882,13.624558266,29.23603128,22,81,50,118,52,125,28,95,38,93,16,46,206,558,117147,117147,117147,117435,117435,117435
Bristol,51520,Virginia,50.43182248,163.90342306,88.25568934,62.853551226,37.712130735,37.712130735,73.329143097,8,20,26,54,14,37,10,27,6,13,6,11,70,162,15863,15863,15863,15910,15910,15910
Campbell,51031,Virginia,24.424994911,42.065269014,37.994436529,15.147759509,19.278966647,16.524828555,26.164311879,18,64,31,72,28,78,11,51,14,46,12,34,114,345,73695,73695,73695,72618,72618,72618
Caroline,51033,Virginia,36.549707602,49.840510367,33.227006911,29.916234543,33.240260604,16.620130302,33.240260604,11,21,15,34,10,39,9,21,10,24,5,12,60,151,30096,30096,30096,30084,30084,30084
Chesapeake,51550,Virginia,32.329632937,41.220281995,45.261486112,33.245346653,23.231688022,16.822946499,31.843434445,80,243,102,308,112,356,83,221,58,191,42,109,477,1428,247451,247451,247451,249659,249659,249659
Chesterfield,51041,Virginia,37.740794129,37.740794129,33.285283711,31.688780111,24.732706428,13.912147366,29.541843789,144,395,144,498,127,466,123,415,96,309,54,166,688,2249,381550,381550,381550,388150,388150,388150
