source_desc,sector_desc,group_desc,commodity_desc,class_desc,prodn_practice_desc,util_practice_desc,statisticcat_desc,unit_desc,short_desc,domain_desc,domaincat_desc,agg_level_desc,state_ansi,state_fips_code,state_alpha,state_name,asd_code,asd_desc,county_ansi,county_code,county_name,location_desc,year,freq_desc,Value,CV (%),fips_code
CENSUS,ENVIRONMENTAL,FARMS & LAND & ASSETS,AG LAND,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,TREATED,ACRES,"AG LAND - TREATED, MEASURED IN ACRES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (TOTAL)",COUNTY,51,51,VA,VIRGINIA,20,NORTHERN,43,043,CLARKE,"VIRGINIA, NORTHERN, CLARKE",2022,ANNUAL,388.0,20.9,51043
CENSUS,ENVIRONMENTAL,FARMS & LAND & ASSETS,AG LAND,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,TREATED,ACRES,"AG LAND - TREATED, MEASURED IN ACRES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (TOTAL)",COUNTY,51,51,VA,VIRGINIA,20,NORTHERN,47,047,CULPEPER,"VIRGINIA, NORTHERN, CULPEPER",2022,ANNUAL,6099.0,20.9,51047
CENSUS,ENVIRONMENTAL,FARMS & LAND & ASSETS,AG LAND,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,TREATED,ACRES,"AG LAND - TREATED, MEASURED IN ACRES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (TOTAL)",COUNTY,51,51,VA,VIRGINIA,20,NORTHERN,59,059,FAIRFAX,"VIRGINIA, NORTHERN, FAIRFAX",2022,ANNUAL,9.0,20.9,51059
CENSUS,ENVIRONMENTAL,FARMS & LAND & ASSETS,AG LAND,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,TREATED,ACRES,"AG LAND - TREATED, MEASURED IN ACRES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (TOTAL)",COUNTY,51,51,VA,VIRGINIA,20,NORTHERN,61,061,FAUQUIER,"VIRGINIA, NORTHERN, FAUQUIER",2022,ANNUAL,7094.0,20.9,51061
CENSUS,ENVIRONMENTAL,FARMS & LAND & ASSETS,AG LAND,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,TREATED,ACRES,"AG LAND - TREATED, MEASURED IN ACRES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (TOTAL)",COUNTY,51,51,VA,VIRGINIA,20,NORTHERN,69,069,FREDERICK,"VIRGINIA, NORTHERN, FREDERICK",2022,ANNUAL,2875.0,20.9,51069
CENSUS,ENVIRONMENTAL,FARMS & LAND & ASSETS,AG LAND,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,TREATED,ACRES,"AG LAND - TREATED, MEASURED IN ACRES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (TOTAL)",COUNTY,51,51,VA,VIRGINIA,20,NORTHERN,107,107,LOUDOUN,"VIRGINIA, NORTHERN, LOUDOUN",2022,ANNUAL,1179.0,20.9,51107
CENSUS,ENVIRONMENTAL,FARMS & LAND & ASSETS,AG LAND,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,TREATED,ACRES,"AG LAND - TREATED, MEASURED IN ACRES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (TOTAL)",COUNTY,51,51,VA,VIRGINIA,20,NORTHERN,113,113,MADISON,"VIRGINIA, NORTHERN, MADISON",2022,ANNUAL,742.0,20.9,51113
CENSUS,ENVIRONMENTAL,FARMS & LAND & ASSETS,AG LAND,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,TREATED,ACRES,"AG LAND - TREATED, MEASURED IN ACRES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (TOTAL)",COUNTY,51,51,VA,VIRGINIA,20,NORTHERN,139,139,PAGE,"VIRGINIA, NORTHERN, PAGE",2022,ANNUAL,,(D),51139
CENSUS,ENVIRONMENTAL,FARMS & LAND & ASSETS,AG LAND,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,TREATED,ACRES,"AG LAND - TREATED, MEASURED IN ACRES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (TOTAL)",COUNTY,51,51,VA,VIRGINIA,20,NORTHERN,153,153,PRINCE WILLIAM,"VIRGINIA, NORTHERN, PRINCE WILLIAM",2022,ANNUAL,43.0,20.9,51153
CENSUS,ENVIRONMENTAL,FARMS & LAND & ASSETS,AG LAND,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,TREATED,ACRES,"AG LAND - TREATED, MEASURED IN ACRES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (TOTAL)",COUNTY,51,51,VA,VIRGINIA,20,NORTHERN,157,157,RAPPAHANNOCK,"VIRGINIA, NORTHERN, RAPPAHANNOCK",2022,ANNUAL,721.0,20.9,51157
