source_desc,sector_desc,group_desc,commodity_desc,class_desc,prodn_practice_desc,util_practice_desc,statisticcat_desc,unit_desc,short_desc,domain_desc,domaincat_desc,agg_level_desc,state_ansi,state_fips_code,state_alpha,state_name,asd_code,asd_desc,county_ansi,county_code,county_name,location_desc,year,freq_desc,Value,CV (%),fips_code
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA HARVESTED,ACRES,BARLEY - ACRES HARVESTED,TOTAL,NOT SPECIFIED,COUNTY,51,51,VA,VIRGINIA,20,NORTHERN,165.0,165,ROCKINGHAM,"VIRGINIA, NORTHERN, ROCKINGHAM",2021,ANNUAL,290.0,93.1,51165
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA HARVESTED,ACRES,BARLEY - ACRES HARVESTED,TOTAL,NOT SPECIFIED,COUNTY,51,51,VA,VIRGINIA,20,NORTHERN,171.0,171,SHENANDOAH,"VIRGINIA, NORTHERN, SHENANDOAH",2021,ANNUAL,400.0,28.2,51171
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA HARVESTED,ACRES,BARLEY - ACRES HARVESTED,TOTAL,NOT SPECIFIED,COUNTY,51,51,VA,VIRGINIA,40,WESTERN,15.0,015,AUGUSTA,"VIRGINIA, WESTERN, AUGUSTA",2021,ANNUAL,350.0,76.2,51015
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA HARVESTED,ACRES,BARLEY - ACRES HARVESTED,TOTAL,NOT SPECIFIED,COUNTY,51,51,VA,VIRGINIA,50,CENTRAL,7.0,007,AMELIA,"VIRGINIA, CENTRAL, AMELIA",2021,ANNUAL,240.0,17.9,51007
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA HARVESTED,ACRES,BARLEY - ACRES HARVESTED,TOTAL,NOT SPECIFIED,COUNTY,51,51,VA,VIRGINIA,50,CENTRAL,109.0,109,LOUISA,"VIRGINIA, CENTRAL, LOUISA",2021,ANNUAL,140.0,22.9,51109
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA HARVESTED,ACRES,BARLEY - ACRES HARVESTED,TOTAL,NOT SPECIFIED,COUNTY,51,51,VA,VIRGINIA,60,EASTERN,193.0,193,WESTMORELAND,"VIRGINIA, EASTERN, WESTMORELAND",2021,ANNUAL,800.0,18.6,51193
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA HARVESTED,ACRES,BARLEY - ACRES HARVESTED,TOTAL,NOT SPECIFIED,COUNTY,51,51,VA,VIRGINIA,80,SOUTHERN,67.0,067,FRANKLIN,"VIRGINIA, SOUTHERN, FRANKLIN",2021,ANNUAL,150.0,82.3,51067
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA HARVESTED,ACRES,BARLEY - ACRES HARVESTED,TOTAL,NOT SPECIFIED,COUNTY,51,51,VA,VIRGINIA,80,SOUTHERN,143.0,143,PITTSYLVANIA,"VIRGINIA, SOUTHERN, PITTSYLVANIA",2021,ANNUAL,310.0,38.5,51143
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA HARVESTED,ACRES,BARLEY - ACRES HARVESTED,TOTAL,NOT SPECIFIED,COUNTY,51,51,VA,VIRGINIA,99,,,998,OTHER COUNTIES,"VIRGINIA, OTHER COUNTIES",2021,ANNUAL,4320.0,7.9,51998
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA PLANTED,ACRES,BARLEY - ACRES PLANTED,TOTAL,NOT SPECIFIED,COUNTY,51,51,VA,VIRGINIA,20,NORTHERN,165.0,165,ROCKINGHAM,"VIRGINIA, NORTHERN, ROCKINGHAM",2021,ANNUAL,2200.0,5.1,51165
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA PLANTED,ACRES,BARLEY - ACRES PLANTED,TOTAL,NOT SPECIFIED,COUNTY,51,51,VA,VIRGINIA,20,NORTHERN,171.0,171,SHENANDOAH,"VIRGINIA, NORTHERN, SHENANDOAH",2021,ANNUAL,1000.0,4.2,51171
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA PLANTED,ACRES,BARLEY - ACRES PLANTED,TOTAL,NOT SPECIFIED,COUNTY,51,51,VA,VIRGINIA,40,WESTERN,15.0,015,AUGUSTA,"VIRGINIA, WESTERN, AUGUSTA",2021,ANNUAL,2500.0,4.8,51015
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA PLANTED,ACRES,BARLEY - ACRES PLANTED,TOTAL,NOT SPECIFIED,COUNTY,51,51,VA,VIRGINIA,50,CENTRAL,7.0,007,AMELIA,"VIRGINIA, CENTRAL, AMELIA",2021,ANNUAL,400.0,4.2,51007
