year,school_name,ncessch,leaid,lea_name,county_code,city_location,urban_centric_locale,longitude,latitude,school_level,school_type,charter,magnet,virtual,enrollment,teachers_fte,free_or_reduced_price_lunch,direct_certification
2020,VSDB HIGH,510005803050,5100058,VSDB-STAUNTON,51790,Staunton,City small,-79.063974,38.15066,High,Special education school,No,No,Supplemental virtual,38,13,NA,NA
2020,VSDB MIDDLE,510005803051,5100058,VSDB-STAUNTON,51790,Staunton,City small,-79.063974,38.15066,Middle,Special education school,No,No,Supplemental virtual,16,5,NA,NA
2020,VSDB ELEMENTARY,510005803052,5100058,VSDB-STAUNTON,51790,Staunton,City small,-79.063974,38.15066,Primary,Special education school,No,No,Supplemental virtual,9,4,NA,NA
2020,CHINCOTEAGUE ELEM,510006000006,5100060,ACCOMACK CO PBLC SCHS,51001,Chincoteague,Rural remote,-75.3579,37.9379,Primary,Regular school,No,No,Supplemental virtual,219,14,NA,NA
2020,CHINCOTEAGUE HIGH,510006000007,5100060,ACCOMACK CO PBLC SCHS,51001,Chincoteague,Rural remote,-75.3638,37.9428,High,Regular school,No,No,Supplemental virtual,277,24,NA,NA
2020,KEGOTANK ELEM,510006000009,5100060,ACCOMACK CO PBLC SCHS,51001,Mappsville,Rural remote,-75.562299,37.855829,Primary,Regular school,No,No,Supplemental virtual,503,28,NA,NA
2020,PUNGOTEAGUE ELEM,510006000012,5100060,ACCOMACK CO PBLC SCHS,51001,Melfa,Rural remote,-75.7926,37.6529,Primary,Regular school,No,No,Supplemental virtual,425,23,NA,NA
2020,TANGIER COMBINED,510006000014,5100060,ACCOMACK CO PBLC SCHS,51001,Tangier,Rural remote,-75.993779,37.827409,Other,Regular school,No,No,Supplemental virtual,48,7,NA,NA
2020,ACCAWMACKE ELEM,510006001737,5100060,ACCOMACK CO PBLC SCHS,51001,Accomac,Rural remote,-75.6678,37.6794,Primary,Regular school,No,No,Supplemental virtual,458,24,NA,NA
2020,METOMPKIN ELEM,510006001738,5100060,ACCOMACK CO PBLC SCHS,51001,Parksley,Rural remote,-75.6453,37.78,Primary,Regular school,No,No,Supplemental virtual,540,32,NA,NA
2020,NANDUA HIGH,510006002003,5100060,ACCOMACK CO PBLC SCHS,51001,Onley,Rural remote,-75.7256,37.6792,High,Regular school,No,No,Supplemental virtual,676,41,NA,NA
2020,ARCADIA HIGH,510006002028,5100060,ACCOMACK CO PBLC SCHS,51001,Oak Hall,Rural distant,-75.5501,37.9253,High,Regular school,No,No,Supplemental virtual,687,42,NA,NA
2020,NANDUA MIDDLE,510006002433,5100060,ACCOMACK CO PBLC SCHS,51001,Onley,Rural remote,-75.7259,37.6813,Middle,Regular school,No,No,Supplemental virtual,485,32,NA,NA
2020,ARCADIA MIDDLE,510006002434,5100060,ACCOMACK CO PBLC SCHS,51001,Oak Hall,Rural distant,-75.554,37.9247,Middle,Regular school,No,No,Supplemental virtual,545,33,NA,NA
2020,YVONNE B. MILLER HIGH SCHOOL,510007002967,5100070,DEPARTMENT OF JUVENILE JUSTICE,51760,Richmond,City midsize,-77.4385,37.5398,High,Other/alternative school,No,No,Supplemental virtual,90,31,NA,NA
2020,AGNOR-HURT ELEM,510009000002,5100090,ALBEMARLE CO PBLC SCHS,51003,Charlottesville,Suburb small,-78.4771,38.0899,Primary,Regular school,No,No,Supplemental virtual,432,38,NA,NA
2020,VIRGINIA L MURRAY ELEM,510009000003,5100090,ALBEMARLE CO PBLC SCHS,51003,Charlottesville,Rural fringe,-78.6131,38.0581,Primary,Regular school,No,No,Supplemental virtual,235,18,NA,NA
2020,ALBEMARLE HIGH,510009000015,5100090,ALBEMARLE CO PBLC SCHS,51003,Charlottesville,Rural fringe,-78.5012,38.0762,High,Regular school,No,Yes,Supplemental virtual,1887,149,NA,NA
2020,BROADUS WOOD ELEM,510009000017,5100090,ALBEMARLE CO PBLC SCHS,51003,Earlysville,Rural fringe,-78.489726,38.162438,Primary,Regular school,No,No,Supplemental virtual,252,19,NA,NA
2020,BROWNSVILLE ELEM,510009000018,5100090,ALBEMARLE CO PBLC SCHS,51003,Crozet,Rural fringe,-78.7031,38.0521,Primary,Regular school,No,No,Supplemental virtual,729,45,NA,NA
2020,CROZET ELEM,510009000020,5100090,ALBEMARLE CO PBLC SCHS,51003,Crozet,Town fringe,-78.697304,38.074663,Primary,Regular school,No,No,Supplemental virtual,328,22,NA,NA
2020,HOLLYMEAD ELEM,510009000022,5100090,ALBEMARLE CO PBLC SCHS,51003,Charlottesville,Suburb small,-78.4393,38.1124,Primary,Regular school,No,No,Supplemental virtual,349,27,NA,NA
2020,JACK JOUETT MIDDLE,510009000023,5100090,ALBEMARLE CO PBLC SCHS,51003,Charlottesville,Rural fringe,-78.5066,38.0773,Middle,Regular school,No,No,Supplemental virtual,681,53,NA,NA
2020,JACKSON P BURLEY MIDDLE,510009000024,5100090,ALBEMARLE CO PBLC SCHS,51540,Charlottesville,City small,-78.4866,38.0399,Middle,Regular school,No,No,Supplemental virtual,607,52,NA,NA
2020,JOSEPH T HENLEY MIDDLE,510009000025,5100090,ALBEMARLE CO PBLC SCHS,51003,Crozet,Rural fringe,-78.7058,38.0521,Middle,Regular school,No,No,Supplemental virtual,877,66,NA,NA
2020,LESLIE H WALTON MIDDLE,510009000026,5100090,ALBEMARLE CO PBLC SCHS,51003,Charlottesville,Rural fringe,-78.5522,37.9215,Middle,Regular school,No,No,Supplemental virtual,345,29,NA,NA
2020,MARY CARR GREER ELEM,510009000027,5100090,ALBEMARLE CO PBLC SCHS,51003,Charlottesville,Rural fringe,-78.505822,38.078942,Primary,Regular school,No,No,Supplemental virtual,469,47,NA,NA
2020,MERIWETHER LEWIS ELEM,510009000028,5100090,ALBEMARLE CO PBLC SCHS,51003,Charlottesville,Rural fringe,-78.5981,38.0811,Primary,Regular school,No,No,Supplemental virtual,323,21,NA,NA
2020,RED HILL ELEM,510009000029,5100090,ALBEMARLE CO PBLC SCHS,51003,North Garden,Rural distant,-78.635342,37.964267,Primary,Regular school,No,No,Supplemental virtual,169,13,NA,NA
2020,MURRAY,510009000030,5100090,ALBEMARLE CO PBLC SCHS,51540,Charlottesville,City small,-78.48276,38.040712,High,Regular school,Yes,No,Supplemental virtual,162,19,NA,NA
2020,STONE ROBINSON ELEM,510009000032,5100090,ALBEMARLE CO PBLC SCHS,51003,Charlottesville,Rural fringe,-78.397,38.0106,Primary,Regular school,No,No,Supplemental virtual,450,35,NA,NA
2020,STONY POINT ELEM,510009000033,5100090,ALBEMARLE CO PBLC SCHS,51003,Keswick,Rural fringe,-78.3696,38.112,Primary,Regular school,No,No,Supplemental virtual,173,17,NA,NA
2020,WESTERN ALBEMARLE HIGH,510009000035,5100090,ALBEMARLE CO PBLC SCHS,51003,Crozet,Rural fringe,-78.7073,38.0471,High,Regular school,No,Yes,Supplemental virtual,1144,72,NA,NA
2020,WOODBROOK ELEM,510009000036,5100090,ALBEMARLE CO PBLC SCHS,51003,Charlottesville,Suburb small,-78.4664,38.0871,Primary,Regular school,No,No,Supplemental virtual,569,44,NA,NA
2020,MORTIMER Y SUTHERLAND MIDDLE,510009000751,5100090,ALBEMARLE CO PBLC SCHS,51003,Charlottesville,Suburb small,-78.4369,38.1124,Middle,Regular school,No,No,Supplemental virtual,579,38,NA,NA
2020,MONTICELLO HIGH,510009001747,5100090,ALBEMARLE CO PBLC SCHS,51003,Charlottesville,Suburb small,-78.489184,37.999031,High,Regular school,No,No,Supplemental virtual,1186,84,NA,NA
2020,SCOTTSVILLE ELEM,510009001882,5100090,ALBEMARLE CO PBLC SCHS,51003,Scottsville,Rural distant,-78.5108,37.818267,Primary,Regular school,No,No,Supplemental virtual,222,15,NA,NA
2020,BAKER-BUTLER ELEM,510009001937,5100090,ALBEMARLE CO PBLC SCHS,51003,Charlottesville,Suburb small,-78.4205,38.1231,Primary,Regular school,No,No,Supplemental virtual,637,47,NA,NA
2020,MOUNTAIN VIEW ELEM,510009002173,5100090,ALBEMARLE CO PBLC SCHS,51003,Charlottesville,Suburb small,-78.499297,37.996327,Primary,Regular school,No,No,Supplemental virtual,694,62,NA,NA
2020,CHARLES BARRETT ELEM,510012000038,5100120,ALEXANDRIA CITY PBLC SCHS,51510,Alexandria,City midsize,-77.0767,38.842,Primary,Regular school,No,No,Supplemental virtual,539,42,NA,NA
2020,DOUGLAS MACARTHUR ELEM,510012000039,5100120,ALEXANDRIA CITY PBLC SCHS,51510,Alexandria,City midsize,-77.08243,38.81523,Primary,Regular school,No,No,Supplemental virtual,579,35,NA,NA
2020,GEORGE MASON ELEM,510012000041,5100120,ALEXANDRIA CITY PBLC SCHS,51510,Alexandria,City midsize,-77.073,38.8284,Primary,Regular school,No,No,Supplemental virtual,409,28,NA,NA
2020,JAMES K POLK ELEM,510012000043,5100120,ALEXANDRIA CITY PBLC SCHS,51510,Alexandria,City midsize,-77.1163,38.8221,Primary,Regular school,No,No,Supplemental virtual,730,58,NA,NA
2020,JEFFERSON-HOUSTON ELEM,510012000044,5100120,ALEXANDRIA CITY PBLC SCHS,51510,Alexandria,City midsize,-77.054588,38.808034,Primary,Regular school,No,No,Supplemental virtual,651,49,NA,NA
2020,JOHN ADAMS ELEM,510012000045,5100120,ALEXANDRIA CITY PBLC SCHS,51510,Alexandria,City midsize,-77.1262,38.8336,Primary,Regular school,No,Yes,Supplemental virtual,666,43,NA,NA
2020,LYLES-CROUCH ELEM,510012000047,5100120,ALEXANDRIA CITY PBLC SCHS,51510,Alexandria,City midsize,-77.0464,38.7994,Primary,Regular school,No,No,Supplemental virtual,445,30,NA,NA
2020,MATTHEW MAURY ELEM,510012000048,5100120,ALEXANDRIA CITY PBLC SCHS,51510,Alexandria,City midsize,-77.0652,38.8129,Primary,Regular school,No,No,Supplemental virtual,351,23,NA,NA
2020,MOUNT VERNON ELEM,510012000050,5100120,ALEXANDRIA CITY PBLC SCHS,51510,Alexandria,City midsize,-77.059807,38.828029,Primary,Regular school,No,Yes,Supplemental virtual,887,48,NA,NA
2020,PATRICK HENRY ELEM,510012000052,5100120,ALEXANDRIA CITY PBLC SCHS,51510,Alexandria,City midsize,-77.1114,38.8169,Primary,Regular school,No,No,Supplemental virtual,925,54,NA,NA
2020,TC WILLIAMS HIGH SCHOOL,510012000054,5100120,ALEXANDRIA CITY PBLC SCHS,51510,Alexandria,City midsize,-77.084667,38.823544,High,Regular school,No,No,Supplemental virtual,4173,299,NA,NA
2020,WILLIAM RAMSAY ELEM,510012000055,5100120,ALEXANDRIA CITY PBLC SCHS,51510,Alexandria,City midsize,-77.1314,38.8278,Primary,Regular school,No,No,Supplemental virtual,591,38,NA,NA
2020,CORA KELLY SCHOOL,510012001826,5100120,ALEXANDRIA CITY PBLC SCHS,51510,Alexandria,City midsize,-77.057409,38.83768,Primary,Regular school,No,No,Supplemental virtual,312,21,NA,NA
2020,SAMUEL W TUCKER ELEM,510012002549,5100120,ALEXANDRIA CITY PBLC SCHS,51510,Alexandria,City midsize,-77.126404,38.805597,Primary,Regular school,No,No,Supplemental virtual,746,53,NA,NA
2020,GEORGE WASHINGTON MIDDLE,510012002999,5100120,ALEXANDRIA CITY PBLC SCHS,51510,Alexandria,City midsize,-77.055387,38.815774,Middle,Regular school,No,No,Supplemental virtual,1569,107,NA,NA
2020,FRANCIS C. HAMMOND MIDDLE,510012003016,5100120,ALEXANDRIA CITY PBLC SCHS,51510,Alexandria,City midsize,-77.110456,38.82703,Middle,Regular school,No,No,Supplemental virtual,1429,120,NA,NA
2020,FERDINAND T. DAY ELEMENTARY,510012003053,5100120,ALEXANDRIA CITY PBLC SCHS,51510,Alexandria,City midsize,-77.123443,38.831933,Primary,Regular school,No,No,Supplemental virtual,604,30,NA,NA
2020,EARLY CHILDHOOD CENTER,510012003057,5100120,ALEXANDRIA CITY PBLC SCHS,51510,Alexandria,City midsize,-77.126191,38.833556,Prekindergarten,Regular school,No,No,Supplemental virtual,169,18,NA,NA
2020,ALLEGHANY HIGH,510015201883,5100152,ALLEGHANY CO PBLC SCHS,51005,Covington,Rural distant,-79.9091,37.7888,High,Regular school,No,No,Supplemental virtual,619,44,NA,NA
2020,CALLAGHAN ELEM,510015201885,5100152,ALLEGHANY CO PBLC SCHS,51005,Covington,Rural distant,-80.0782,37.8132,Primary,Regular school,No,No,Supplemental virtual,238,16,NA,NA
2020,CLIFTON MIDDLE,510015201888,5100152,ALLEGHANY CO PBLC SCHS,51005,Covington,Rural fringe,-79.874,37.8002,Middle,Regular school,No,No,Supplemental virtual,426,38,NA,NA
2020,SHARON ELEM,510015201891,5100152,ALLEGHANY CO PBLC SCHS,51005,Clifton Forge,Rural fringe,-79.7449,37.8101,Primary,Regular school,No,No,Supplemental virtual,182,16,NA,NA
2020,MT VIEW ELEM,510015201938,5100152,ALLEGHANY CO PBLC SCHS,51005,Covington,Rural fringe,-79.8742,37.8011,Primary,Regular school,No,No,Supplemental virtual,487,36,NA,NA
2020,AMELIA COUNTY ELEM,510018000062,5100180,AMELIA CO PBLC SCHS,51007,Amelia Court House,Rural distant,-77.984614,37.330571,Primary,Regular school,No,No,Virtual with face to face options,751,44,NA,NA
2020,AMELIA COUNTY MIDDLE,510018000063,5100180,AMELIA CO PBLC SCHS,51007,Amelia,Rural distant,-77.99,37.3347,Middle,Regular school,No,No,Virtual with face to face options,380,30,NA,NA
2020,AMELIA COUNTY HIGH,510018001828,5100180,AMELIA CO PBLC SCHS,51007,Amelia Court House,Rural distant,-77.9876,37.3311,High,Regular school,No,No,Virtual with face to face options,496,37,NA,NA
2020,MADISON HEIGHTS ELEM,510021000010,5100210,AMHERST CO PBLC SCHS,51009,Madison Heights,Suburb midsize,-79.1339,37.432,Primary,Regular school,No,No,Virtual with face to face options,382,23,NA,NA
2020,AMELON ELEM,510021000064,5100210,AMHERST CO PBLC SCHS,51009,Madison Heights,Rural fringe,-79.1174,37.47,Primary,Regular school,No,No,Virtual with face to face options,416,23,NA,NA
2020,AMHERST COUNTY HIGH,510021000065,5100210,AMHERST CO PBLC SCHS,51009,Amherst,Rural fringe,-79.0584,37.5701,High,Regular school,No,No,Virtual with face to face options,1195,65,NA,NA
2020,AMHERST MIDDLE,510021000066,5100210,AMHERST CO PBLC SCHS,51009,Amherst,Rural fringe,-79.032,37.5694,Middle,Regular school,No,No,Virtual with face to face options,408,24,NA,NA
2020,AMHERST ELEM,510021000067,5100210,AMHERST CO PBLC SCHS,51009,Amherst,Rural fringe,-79.0455,37.5877,Primary,Regular school,No,No,Virtual with face to face options,261,14,NA,NA
2020,CENTRAL ELEM,510021000068,5100210,AMHERST CO PBLC SCHS,51009,Amherst,Rural fringe,-79.0362,37.5694,Primary,Regular school,No,No,Virtual with face to face options,355,18,NA,NA
2020,ELON ELEM,510021000069,5100210,AMHERST CO PBLC SCHS,51009,Madison Heights,Rural fringe,-79.1957,37.5136,Primary,Regular school,No,No,Virtual with face to face options,355,18,NA,NA
2020,MONELISON MIDDLE,510021000072,5100210,AMHERST CO PBLC SCHS,51009,Madison Heights,Suburb midsize,-79.1133,37.4546,Middle,Regular school,No,No,Virtual with face to face options,564,28,NA,NA
2020,TEMPERANCE ELEM,510021000075,5100210,AMHERST CO PBLC SCHS,51009,Amherst,Rural distant,-79.0818,37.6931,Primary,Regular school,No,No,Virtual with face to face options,109,7,NA,NA
2020,APPOMATTOX COUNTY HIGH,510024000076,5100240,APPOMATTOX CO PBLC SCHS,51011,Appomattox,Rural distant,-78.826184,37.344787,High,Regular school,No,No,Virtual with face to face options,679,49,NA,NA
2020,APPOMATTOX ELEM,510024000077,5100240,APPOMATTOX CO PBLC SCHS,51011,Appomattox,Rural distant,-78.838051,37.35237,Primary,Regular school,No,No,Virtual with face to face options,500,32,NA,NA
2020,APPOMATTOX MIDDLE,510024000078,5100240,APPOMATTOX CO PBLC SCHS,51011,Appomattox,Rural distant,-78.8251,37.3557,Middle,Regular school,No,No,Virtual with face to face options,530,38,NA,NA
