School Year,Division Name,fips_code,School Number,School Name,Total Count
2021-2022,Accomack County,51001,701,Accawmacke Elementary,51
2021-2022,Accomack County,51001,540,Arcadia High,86
2021-2022,Accomack County,51001,704,Arcadia Middle,91
2021-2022,Accomack County,51001,80,Chincoteague Elementary,34
2021-2022,Accomack County,51001,580,Chincoteague High,36
2021-2022,Accomack County,51001,600,Kegotank Elementary,83
2021-2022,Accomack County,51001,702,Metompkin Elementary,69
2021-2022,Accomack County,51001,70,Nandua High,108
2021-2022,Accomack County,51001,703,Nandua Middle,64
2021-2022,Accomack County,51001,590,Pungoteague Elementary,68
2021-2022,Accomack County,51001,530,Tangier Combined,<
2021-2022,Albemarle County,51003,160,Agnor-Hurt Elementary,60
2021-2022,Albemarle County,51003,880,Albemarle High,224
2021-2022,Albemarle County,51003,1053,Baker-Butler Elem,96
2021-2022,Albemarle County,51003,100,Broadus Wood Elementary,41
2021-2022,Albemarle County,51003,941,Brownsville Elementary,78
2021-2022,Albemarle County,51003,890,Community Lab School,38
2021-2022,Albemarle County,51003,340,Crozet Elementary,41
2021-2022,Albemarle County,51003,10,Hollymead Elementary,58
2021-2022,Albemarle County,51003,950,Jack Jouett Middle,113
2021-2022,Albemarle County,51003,69,Jackson P. Burley Middle,90
2021-2022,Albemarle County,51003,942,Joseph T. Henley Middle,89
2021-2022,Albemarle County,51003,1051,Lakeside Middle,51
2021-2022,Albemarle County,51003,20,Leslie H. Walton Middle,60
2021-2022,Albemarle County,51003,40,Mary Carr Greer Elementary,72
2021-2022,Albemarle County,51003,250,Meriwether Lewis Elementary,38
2021-2022,Albemarle County,51003,1052,Monticello High,178
2021-2022,Albemarle County,51003,150,Mountain View Elementary,95
2021-2022,Albemarle County,51003,540,Red Hill Elementary,34
2021-2022,Albemarle County,51003,30,Scottsville Elementary,34
2021-2022,Albemarle County,51003,920,Stone Robinson Elementary,85
2021-2022,Albemarle County,51003,240,Stony Point Elementary,20
2021-2022,Albemarle County,51003,910,Virginia L. Murray Elementary,32
2021-2022,Albemarle County,51003,140,Western Albemarle High,134
2021-2022,Albemarle County,51003,930,Woodbrook Elementary,71
2021-2022,Alexandria City,51510,210,Alexandria City High,438
2021-2022,Alexandria City,51510,120,Charles Barrett Elementary,90
2021-2022,Alexandria City,51510,160,Cora Kelly School for Math Science and Technology,51
2021-2022,Alexandria City,51510,110,Douglas Macarthur Elementary,56
2021-2022,Alexandria City,51510,360,Early Childhood Center,59
2021-2022,Alexandria City,51510,350,Ferdinand T. Day Elementary,48
2021-2022,Alexandria City,51510,140,Francis C. Hammond Middle,145
2021-2022,Alexandria City,51510,100,George Mason Elementary,34
2021-2022,Alexandria City,51510,130,George Washington Middle,173
2021-2022,Alexandria City,51510,220,James K. Polk Elementary,66
2021-2022,Alexandria City,51510,90,Jefferson-Houston PK-8 School,115
2021-2022,Alexandria City,51510,230,John Adams Elementary,72
2021-2022,Alexandria City,51510,80,Lyles-Crouch Elementary,39
2021-2022,Alexandria City,51510,30,Mount Vernon Elementary,68
2021-2022,Alexandria City,51510,60,Naomi L. Brooks Elementary,39
2021-2022,Alexandria City,51510,50,Patrick Henry K-8 School,80
2021-2022,Alexandria City,51510,333,Samuel W. Tucker Elementary,53
2021-2022,Alexandria City,51510,190,William Ramsay Elementary,65
2021-2022,Alleghany County,51005,310,Alleghany High,90
2021-2022,Alleghany County,51005,110,Callaghan Elementary,23
2021-2022,Alleghany County,51005,1040,Clifton Middle,62
2021-2022,Alleghany County,51005,1041,Mountain View Elementary,81
2021-2022,Alleghany County,51005,90,Sharon Elementary,26
2021-2022,Amelia County,51007,220,Amelia County Elementary,87
2021-2022,Amelia County,51007,10,Amelia County High,69
2021-2022,Amelia County,51007,210,Amelia County Middle,44
2021-2022,Amherst County,51009,780,Amelon Elementary,66
2021-2022,Amherst County,51009,750,Amherst County High,150
2021-2022,Amherst County,51009,790,Amherst Elementary,35
2021-2022,Amherst County,51009,670,Amherst Middle,49
2021-2022,Amherst County,51009,770,Central Elementary,75
2021-2022,Amherst County,51009,760,Elon Elementary,50
2021-2022,Amherst County,51009,500,Madison Heights Elementary,56
2021-2022,Amherst County,51009,20,Monelison Middle,74
2021-2022,Amherst County,51009,740,Temperance Elementary,11
2021-2022,Appomattox County,51011,260,Appomattox County High,75
2021-2022,Appomattox County,51011,110,Appomattox Elementary,56
2021-2022,Appomattox County,51011,160,Appomattox Middle,57
2021-2022,Appomattox County,51011,250,Appomattox Primary,84
2021-2022,Arlington County,51013,350,Abingdon Elementary,87
2021-2022,Arlington County,51013,160,Alice West Fleet Elementary,80
2021-2022,Arlington County,51013,618,Arlington Community High,<
2021-2022,Arlington County,51013,629,Arlington Science Focus School,48
2021-2022,Arlington County,51013,470,Arlington Traditional,55
2021-2022,Arlington County,51013,490,Ashlawn Elementary,69
2021-2022,Arlington County,51013,150,Barcroft Elementary,63
2021-2022,Arlington County,51013,250,Barrett Elementary,113
2021-2022,Arlington County,51013,615,Campbell Elementary,62
2021-2022,Arlington County,51013,380,Cardinal Elementary,58
2021-2022,Arlington County,51013,90,Carlin Springs Elementary,85
2021-2022,Arlington County,51013,622,Claremont Immersion,66
2021-2022,Arlington County,51013,626,Discovery Elementary,74
2021-2022,Arlington County,51013,628,Dorothy Hamm Middle,130
2021-2022,Arlington County,51013,200,Dr. Charles R. Drew Elementary,102
2021-2022,Arlington County,51013,111,Escuela Key Elementary,52
2021-2022,Arlington County,51013,100,Glebe Elementary,64
2021-2022,Arlington County,51013,611,Gunston Middle,168
