"","LandmkName","Address","City","Zip","X","Y","LastCheck","SrcTyp","FIPScode","FIPSname"
"1","Advanced Vision Surgery Center, LLC","5215 Monticello Avenue","Williamsburg","23188",-76.74465009,37.2757775,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51095,"James City County"
"2","Azura Surgery Center River City","2235 Staples Mill Road, Suite 104","Richmond","23230",-77.49189149,37.58960852,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51087,"Henrico County"
"3","Augusta Health - Main Campus","78 Medical Center Drive","Fishersville","22939",-78.98684796,38.09451611,"2025/11/13 00:00:00+00","Inpatient Hospital",51015,"Augusta County"
"4","Bath Community Hospital","106 Park Dr","Hot Springs","24445",-79.83182106,37.99292349,"2025/11/13 00:00:00+00","Inpatient Hospital",51017,"Bath County"
"5","Lakeview Medical Center","2000 Meade Parkway","Suffolk","23434",-76.59531498,36.76115031,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51800,"Suffolk City"
"6","Centra Bedford Memorial Hospital","1613 Oakwood Street","Bedford","24523",-79.51734951,37.35134659,"2025/11/13 00:00:00+00","Inpatient Hospital",5105544,"Bedford Town"
"7","Blue Ridge Surgery Center","1802 Braeburn Drive","Salem","24153",-80.03032846,37.2628365,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51775,"Salem City"
"8","Bon Secours Mary Immaculate Hospital","2 Bernardine Drive","Newport News","23602",-76.5116094,37.14448148,"2025/11/13 00:00:00+00","Inpatient Hospital",51700,"Newport News City"
"9","Bon Secours Maryview Medical Center","3636 High Street","Portsmouth","23707",-76.34791531,36.83718264,"2025/11/13 00:00:00+00","Inpatient Hospital",51740,"Portsmouth City"
"10","Bon Secours Memorial Regional Medical Center","8260 Atlee Road","Mechanicsville","23116",-77.38643244,37.62901281,"2025/11/13 00:00:00+00","Inpatient Hospital",51085,"Hanover County"
"11","Rappahannock General Hospital","101 Harris Road","Kilmarnock","22482",-76.38710578,37.7011307,"2025/11/13 00:00:00+00","Inpatient Hospital",51103,"Lancaster County"
"12","Bon Secours - Richmond Community Hospital","1500 North 28th Street","Richmond","23223",-77.40658794,37.5402777,"2025/11/13 00:00:00+00","Inpatient Hospital",51760,"Richmond City"
"13","Bon Secours Southampton Medical Center","100 Fairview Drive","Franklin","23851",-76.93742025,36.69199479,"2025/11/13 00:00:00+00","Inpatient Hospital",51620,"Franklin City"
"14","Bon Secours Southern Virginia Medical Center","727 North Main Street","Emporia","23847",-77.53768533,36.70159571,"2025/11/13 00:00:00+00","Inpatient Hospital",51595,"Emporia City"
"15","Bon Secours Southside Medical Center","200 Medical Park Boulevard","Petersburg","23805",-77.35878498,37.18278373,"2025/11/13 00:00:00+00","Inpatient Hospital",51730,"Petersburg City"
"16","Bon Secours St. Francis Medical Center","13700 St. Francis Boulevard","Midlothian","23114",-77.65866836,37.46662787,"2025/11/13 00:00:00+00","Inpatient Hospital",51041,"Chesterfield County"
"17","Bon Secours St. Mary's Hospital","5801 Bremo Road","Richmond","23226",-77.51254698,37.58394728,"2025/11/13 00:00:00+00","Inpatient Hospital",51087,"Henrico County"
"18","Bon Secours Surgery Center at Harbour View","5818 Harbour View Blvd. D Suite 102","Suffolk","23435",-76.44186745,36.86859781,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51800,"Suffolk City"
"19","Physicians' Surgery Center of Tidewater","828 Healthy Way","Virginia Beach","23462",-76.12994182,36.80935457,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51810,"Virginia Beach City"
"20","Chippenham Ambulatory Surgery Center, LLC","1115 Boulders Parkway,  Suite 210","Richmond","23225",-77.52986568,37.51463749,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51041,"Chesterfield County"
"21","Buchanan General Hospital","1535 Slate Creek Road","Grundy","24614",-82.06578268,37.28514513,"2025/11/13 00:00:00+00","Inpatient Hospital",51027,"Buchanan County"
"22","CarePlex Orthopaedic Ambulatory Surgery Center","3000 Coliseum Drive","Hampton","23666",-76.39065491,37.05681248,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51650,"Hampton City"
"23","Carilion Franklin Memorial Hospital","180 Floyd Avenue","Rocky Mount","24151",-79.89038646,36.9938118,"2025/11/13 00:00:00+00","Inpatient Hospital",51067,"Franklin County"
"24","Carilion Giles Community Hospital","159 Hartley Way","Pearisburg","24134",-80.71310881,37.33311129,"2025/11/13 00:00:00+00","Inpatient Hospital",51071,"Giles County"
"25","Carilion New River Valley Medical Center","2900 Lamb Circle","Christiansburg","24073",-80.50478322,37.08886717,"2025/11/13 00:00:00+00","Inpatient Hospital",51121,"Montgomery County"
"26","Carilion Roanoke Community Hospital","101 Elm Ave SE","Roanoke","24013",-79.9398042,37.26636545,"2025/11/13 00:00:00+00","Inpatient Hospital",51770,"Roanoke City"
"27","Carilion Roanoke Memorial Hospital","1906 Belleview Ave","Roanoke","24014",-79.94240976,37.25171588,"2025/11/13 00:00:00+00","Inpatient Hospital",51770,"Roanoke City"
"28","Carilion Rockbridge Community Hospital","1 Health Circle","Lexington","24450",-79.44107461,37.77866337,"2025/11/13 00:00:00+00","Inpatient Hospital",51678,"Lexington City"
"29","Carilion Tazewell Community Hospital","388 Ben Bolt Avenue","Tazewell","24651",-81.48904034,37.12374736,"2025/11/13 00:00:00+00","Inpatient Hospital",51185,"Tazewell County"
"30","Cataract and Refractive Surgery Center","2010 Bremo Rd","Richmond","23226",-77.50724687,37.59115527,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51087,"Henrico County"
"31","Center for Visual Surgical Excellence, LLC","208 Carmichael Way","Chesapeake","23322",-76.23153825,36.66120307,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51550,"Chesapeake City"
"32","Centra Southside Community Hospital","800 Oak Street","Farmville","23901",-78.40435375,37.30296686,"2025/11/13 00:00:00+00","Inpatient Hospital",5127440,"Farmville Town"
"33","Chesapeake General Hospital","736 Battlefield Boulevard North","Chesapeake","23320",-76.2456611,36.74493837,"2025/11/13 00:00:00+00","Inpatient Hospital",51550,"Chesapeake City"
"34","Chesapeake Regional Surgery Center at Virginia Beach, LLC","229 Clearfield Avenue","Virginia Beach","23462",-76.16647466,36.84510931,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51810,"Virginia Beach City"
"35","Children's Hospital of The King's Daughters - Main Campus","601 Children's Lane","Norfolk","23507",-76.30185288,36.86188529,"2025/11/13 00:00:00+00","Inpatient Hospital",51710,"Norfolk City"
"36","CJW Medical Center - Chippenham Campus","7101 Jahnke Road","Richmond","23225",-77.52573354,37.51445055,"2025/11/13 00:00:00+00","Inpatient Hospital",51760,"Richmond City"
"37","Children's Hospital of the King's Daughters Health and Surgery Center","11783 Rock Landing Drive","Newport News","23608",-76.46526342,37.08746136,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51700,"Newport News City"
"38","Children's Hospital of the King's Daughters Health and Surgery Center","2021 Concert Drive","Virginia Beach","23456",-76.10157458,36.77694185,"2025/11/13 00:00:00+00","Outpatient Surgical Hospital",51810,"Virginia Beach City"
"39","Clinch Valley Medical Center","6801 Gov. G.C. Peery Highway","Richlands","24641",-81.81996395,37.09465469,"2025/11/13 00:00:00+00","Inpatient Hospital",51185,"Tazewell County"
