alias,official_name,locality_type,fips_code
accomack county,Accomack County,county,51001
accomack,Accomack County,county,51001
albemarle county,Albemarle County,county,51003
albemarle,Albemarle County,county,51003
alleghany county,Alleghany County,county,51005
alleghany,Alleghany County,county,51005
amelia county,Amelia County,county,51007
amelia,Amelia County,county,51007
amherst county,Amherst County,county,51009
amherst,Amherst County,county,51009
appomattox county,Appomattox County,county,51011
appomattox,Appomattox County,county,51011
arlington county,Arlington County,county,51013
arlington,Arlington County,county,51013
augusta county,Augusta County,county,51015
augusta,Augusta County,county,51015
bath county,Bath County,county,51017
bath,Bath County,county,51017
bedford county,Bedford County,county,51019
bedford,Bedford County,county,51019
bland county,Bland County,county,51021
bland,Bland County,county,51021
botetourt county,Botetourt County,county,51023
botetourt,Botetourt County,county,51023
brunswick county,Brunswick County,county,51025
brunswick,Brunswick County,county,51025
buchanan county,Buchanan County,county,51027
buchanan,Buchanan County,county,51027
buckingham county,Buckingham County,county,51029
buckingham,Buckingham County,county,51029
campbell county,Campbell County,county,51031
campbell,Campbell County,county,51031
caroline county,Caroline County,county,51033
caroline,Caroline County,county,51033
carroll county,Carroll County,county,51035
carroll,Carroll County,county,51035
charles city county,Charles City County,county,51036
charles city,Charles City County,county,51036
charlotte county,Charlotte County,county,51037
charlotte,Charlotte County,county,51037
chesterfield county,Chesterfield County,county,51041
chesterfield,Chesterfield County,county,51041
clarke county,Clarke County,county,51043
clarke,Clarke County,county,51043
craig county,Craig County,county,51045
craig,Craig County,county,51045
culpeper county,Culpeper County,county,51047
culpeper,Culpeper County,county,51047
cumberland county,Cumberland County,county,51049
cumberland,Cumberland County,county,51049
dickenson county,Dickenson County,county,51051
dickenson,Dickenson County,county,51051
dinwiddie county,Dinwiddie County,county,51053
dinwiddie,Dinwiddie County,county,51053
essex county,Essex County,county,51057
essex,Essex County,county,51057
fairfax county,Fairfax County,county,51059
fauquier county,Fauquier County,county,51061
fauquier,Fauquier County,county,51061
floyd county,Floyd County,county,51063
floyd,Floyd County,county,51063
fluvanna county,Fluvanna County,county,51065
fluvanna,Fluvanna County,county,51065
franklin county,Franklin County,county,51067
franklin,Franklin County,county,51067
frederick county,Frederick County,county,51069
frederick,Frederick County,county,51069
giles county,Giles County,county,51071
giles,Giles County,county,51071
gloucester county,Gloucester County,county,51073
gloucester,Gloucester County,county,51073
goochland county,Goochland County,county,51075
goochland,Goochland County,county,51075
grayson county,Grayson County,county,51077
grayson,Grayson County,county,51077
greene county,Greene County,county,51079
greene,Greene County,county,51079
greensville county,Greensville County,county,51081
greensville,Greensville County,county,51081
halifax county,Halifax County,county,51083
halifax,Halifax County,county,51083
hanover county,Hanover County,county,51085
hanover,Hanover County,county,51085
henrico county,Henrico County,county,51087
henrico,Henrico County,county,51087
henry county,Henry County,county,51089
henry,Henry County,county,51089
highland county,Highland County,county,51091
highland,Highland County,county,51091
isle of wight county,Isle of Wight County,county,51093
isle of wight,Isle of Wight County,county,51093
james city county,James City County,county,51095
james city,James City County,county,51095
king and queen county,King and Queen County,county,51097
king and queen,King and Queen County,county,51097
king george county,King George County,county,51099
king george,King George County,county,51099
king william county,King William County,county,51101
king william,King William County,county,51101
lancaster county,Lancaster County,county,51103
lancaster,Lancaster County,county,51103
lee county,Lee County,county,51105
lee,Lee County,county,51105
loudoun county,Loudoun County,county,51107
loudoun,Loudoun County,county,51107
louisa county,Louisa County,county,51109
louisa,Louisa County,county,51109
lunenburg county,Lunenburg County,county,51111
lunenburg,Lunenburg County,county,51111
madison county,Madison County,county,51113
madison,Madison County,county,51113
mathews county,Mathews County,county,51115
mathews,Mathews County,county,51115
mecklenburg county,Mecklenburg County,county,51117
mecklenburg,Mecklenburg County,county,51117
middlesex county,Middlesex County,county,51119
middlesex,Middlesex County,county,51119
montgomery county,Montgomery County,county,51121
montgomery,Montgomery County,county,51121
nelson county,Nelson County,county,51125
