"Title: Percent of Children (Ages 3 to 17) with ADD/ADHD | KFF State Health Facts"
"Timeframe: 2024"
"Location","Mean"
"United States","0.117"
"Alabama","0.146"
"Alaska","0.117"
"Arizona","0.094"
"Arkansas","0.145"
"California","0.073"
"Colorado","0.097"
"Connecticut","0.123"
"Delaware","0.109"
"District of Columbia","0.108"
"Florida","0.128"
"Georgia","0.124"
"Hawaii","0.081"
"Idaho","0.115"
"Illinois","0.127"
"Indiana","0.132"
"Iowa","0.121"
"Kansas","0.134"
"Kentucky","0.157"
"Louisiana","0.165"
"Maine","0.139"
"Maryland","0.113"
"Massachusetts","0.119"
"Michigan","0.148"
"Minnesota","0.106"
"Mississippi","0.178"
"Missouri","0.128"
"Montana","0.116"
"Nebraska","0.087"
"Nevada","0.087"
"New Hampshire","0.144"
"New Jersey","0.095"
"New Mexico","0.109"
"New York","0.101"
"North Carolina","0.117"
"North Dakota","0.120"
"Ohio","0.137"
"Oklahoma","0.141"
"Oregon","0.151"
"Pennsylvania","0.114"
"Rhode Island","0.116"
"South Carolina","0.140"
"South Dakota","0.141"
"Tennessee","0.120"
"Texas","0.113"
"Utah","0.123"
"Vermont","0.146"
"Virginia","0.159"
"Washington","0.113"
"West Virginia","0.159"
"Wisconsin","0.112"
"Wyoming","0.108"

"Notes"
"Indicator based on methodology developed by the [Data Resource Center for Child & Adolescent Health](https://www.childhealthdata.org/learn-about-the-nsch/nsch-codebooks). "
""
"This is only children who currently have the condition, it does not include children who responded, ""Ever told, but does not currently have the condition."" "
""
"All information about children's health conditions from the NSCH is based on parent recollection and is not independently verified."
""
"Missing values due to non-response or a ""don’t know"" response are not included in the denominator for calculation of prevalence estimates and weighted population counts. In the majority of cases, the proportion of missing values is less than 2%."

"Sources"
"KFF analysis of 2024 National Survey of Children's Health."


