County Name,"County, State",State,Calc Positive Severe Depression,# per 100K,# per 100K 2020,# per 100K 2021,# per 100K 2022,# per 100K 2023,# per 100K 2024,# per 100K 2025,# per 100K All Years,2020 Positive Severe Depression,2020 Total Depression Responses,2021 population,2021 Positive Severe Depression,2021 Total Depression Responses,2022 population,2022 Positive Severe Depression,2022 Total Depression Responses,2023 Positive Severe Depression,2023 Total Depression Responses,2024 Positive Severe Depression,2024 Total Depression Responses,2025 Positive Severe Depression,2025 Total Depression Responses,Calc Total Depression Responses,Positive Severe Depression,Total Depression Responses
Albemarle,"Albemarle, Virginia",Virginia,26,16.483969340,28.055319990,38.894875441,45.908705438,28.529946934,20.287962264,16.483969340,29.586611636,44,168,156833,61,223,157729,72,231,45,167,32,124,26,63,63,280,976
Alexandria,"Alexandria, Virginia",Virginia,10,6.503726635,25.216930259,27.156694125,16.164698884,25.364533878,14.308198598,6.503726635,19.185993574,39,138,154658,42,184,153758,25,159,39,144,22,105,10,64,64,177,794
Arlington,"Arlington, Virginia",Virginia,45,19.030944315,27.071269346,28.763223681,33.416098100,25.374592421,17.339304821,19.030944315,25.163137484,64,309,236413,68,315,236457,79,304,60,281,41,208,45,142,142,357,1559
Augusta,"Augusta, Virginia",Virginia,31,24.292957393,35.572560118,50.592085501,30.039050766,36.047614196,29.778463901,24.292957393,34.219112027,45,120,126502,64,164,127609,38,129,46,126,38,94,31,84,84,262,717
Bedford,"Bedford, Virginia",Virginia,16,13.624558266,18.779823640,42.681417365,44.388674059,23.842976966,32.358325882,13.624558266,29.236031280,22,81,117147,50,118,117435,52,125,28,95,38,93,16,46,46,206,558
Bristol,"Bristol, Virginia",Virginia,6,37.712130735,50.431822480,163.903423060,88.255689340,62.853551226,37.712130735,37.712130735,73.329143097,8,20,15863,26,54,15910,14,37,10,27,6,13,6,11,11,70,162
Campbell,"Campbell, Virginia",Virginia,12,16.524828555,24.424994911,42.065269014,37.994436529,15.147759509,19.278966647,16.524828555,26.164311879,18,64,73695,31,72,72618,28,78,11,51,14,46,12,34,34,114,345
Caroline,"Caroline, Virginia",Virginia,5,16.620130302,36.549707602,49.840510367,33.227006911,29.916234543,33.240260604,16.620130302,33.240260604,11,21,30096,15,34,30084,10,39,9,21,10,24,5,12,12,60,151
Chesapeake,"Chesapeake, Virginia",Virginia,42,16.822946499,32.329632937,41.220281995,45.261486112,33.245346653,23.231688022,16.822946499,31.843434445,80,243,247451,102,308,249659,112,356,83,221,58,191,42,109,109,477,1428
Chesterfield,"Chesterfield, Virginia",Virginia,54,13.912147366,37.740794129,37.740794129,33.285283711,31.688780111,24.732706428,13.912147366,29.541843789,144,395,381550,144,498,388150,127,466,123,415,96,309,54,166,166,688,2249
Culpeper,"Culpeper, Virginia",Virginia,9,17.840859533,44.268265690,46.280459585,44.268265690,27.752448162,53.522578599,17.840859533,38.655195655,22,68,49697,23,66,50446,22,60,14,56,27,59,9,29,29,117,338
Dinwiddie,"Dinwiddie, Virginia",Virginia,6,10.519487350,24.526549990,40.293617841,22.774653562,26.298718376,22.792222592,10.519487350,24.545470484,14,40,57081,23,58,57037,13,42,15,41,13,41,6,23,23,84,245
Fairfax,"Fairfax, Virginia",Virginia,167,14.269467356,28.525382893,31.856191076,35.870241962,25.206544132,25.804665518,14.269467356,26.929703363,334,1204,1170887,373,1411,1170331,420,1515,295,1121,302,994,167,610,610,1891,6855
Fauquier,"Fauquier, Virginia",Virginia,12,16.779227317,19.801420045,32.530904359,42.431614381,29.363647804,26.567109918,16.779227317,27.732334037,14,63,70702,23,78,71517,30,86,21,56,19,62,12,39,39,119,384
Franklin,"Franklin, Virginia",Virginia,6,11.612378796,25.089744085,28.949704713,34.739645656,30.966343455,11.612378796,11.612378796,23.869889747,13,32,51814,15,39,51669,18,36,16,40,6,24,6,14,14,74,185
Frederick,"Frederick, Virginia",Virginia,16,17.697353140,21.274928057,29.113059447,38.070923892,40.925129135,32.076452566,17.697353140,29.679935995,19,71,89307,26,80,90409,34,81,37,91,29,75,16,45,45,161,443
Fredericksburg,"Fredericksburg, Virginia",Virginia,7,24.806860869,35.785857429,75.150300601,60.835957630,42.526047204,17.719186335,24.806860869,42.526047204,10,36,27944,21,63,28218,17,48,12,40,5,22,7,23,23,72,232
Gloucester,"Gloucester, Virginia",Virginia,6,15.863782983,37.449176118,64.198587631,37.449176118,34.371529797,15.863782983,15.863782983,33.930869159,14,44,37384,24,63,37822,14,39,13,34,6,25,6,16,16,77,221
Goochland,"Goochland, Virginia",Virginia,8,16.731151312,20.810788313,47.864813119,49.945891950,25.096726969,10.456969570,16.731151312,28.582383492,10,31,48052,23,50,47815,24,58,12,36,5,24,8,26,26,82,225
New Kent,"New Kent, Virginia",Virginia,5,19.191647795,,31.350419312,35.269221726,30.706636472,,19.191647795,22.390255761,,,25518,8,26,26053,9,28,8,27,,,5,16,16,35,118
Mecklenburg,"Mecklenburg, Virginia",Virginia,5,16.046728072,,25.836455238,25.836455238,22.465419301,19.256073687,16.046728072,20.325855558,,,30964,8,21,31159,8,18,7,23,6,20,5,13,13,38,110
Louisa,"Louisa, Virginia",Virginia,5,11.033630506,13.703636031,18.271514709,29.691211401,26.480713214,24.273987113,11.033630506,20.228322594,6,21,43784,8,39,45316,13,35,12,40,11,27,5,26,26,55,188
Orange,"Orange, Virginia",Virginia,7,22.384957309,22.466861379,25.676413005,28.885964631,28.780659397,19.187106265,22.384957309,24.516858005,7,20,31157,8,27,31271,9,28,9,25,6,23,7,14,14,46,137
King George,"King George, Virginia",Virginia,7,25.940337224,63.916983118,,45.117870437,22.234574764,25.940337224,25.940337224,32.734235069,17,30,26597,,,26985,12,24,6,26,7,24,7,16,16,53,149
Tazewell,"Tazewell, Virginia",Virginia,7,17.626913779,52.991496127,35.327664084,52.991496127,25.181305399,20.145044319,17.626913779,33.994762288,21,47,39629,14,40,39712,21,39,10,21,8,30,7,22,22,81,199
Manassas,"Manassas, Virginia",Virginia,7,14.107214833,30.004200588,30.004200588,40.005600784,38.291011689,16.122531237,14.107214833,28.214429665,15,34,49993,15,60,49620,20,64,19,55,8,39,7,26,26,84,278
Lynchburg,"Lynchburg, Virginia",Virginia,7,14.911066141,21.874179718,41.560941465,43.748359437,31.952284588,27.691979977,14.911066141,29.822132282,10,49,45716,19,73,46945,20,68,15,51,13,38,7,30,30,84,309
Shenandoah,"Shenandoah, Virginia",Virginia,8,17.787264319,31.241631706,37.936267071,37.936267071,22.234080398,11.117040199,17.787264319,26.310328471,14,42,44812,17,48,44976,17,56,10,35,5,25,8,19,19,71,225
Rockbridge,"Rockbridge, Virginia",Virginia,8,21.623959347,26.952724920,32.343269905,51.210177349,35.138933939,21.623959347,21.623959347,31.534940714,10,29,37102,12,43,36996,19,42,13,36,8,24,8,19,19,70,193
Warren,"Warren, Virginia",Virginia,11,26.970700012,27.396577918,19.924783941,42.340165874,29.422581832,34.326345470,26.970700012,29.831228801,11,32,40151,8,42,40785,17,58,12,33,14,31,11,21,21,73,217
Portsmouth,"Portsmouth, Virginia",Virginia,11,11.295490019,34.888254972,40.018880703,42.071130995,41.074509160,24.644705496,11.295490019,32.346175963,34,96,97454,39,129,97384,41,125,40,99,24,72,11,39,39,189,560
Pittsylvania,"Pittsylvania, Virginia",Virginia,11,10.988242580,22.873964456,27.846565425,35.802726974,23.974347448,29.967934310,10.988242580,25.306255640,23,63,100551,28,87,100107,36,105,24,77,30,82,11,37,37,152,451
James City,"James City, Virginia",Virginia,12,11.246590877,25.803492073,34.404656097,25.803492073,32.802556725,18.744318129,11.246590877,24.523816218,27,83,104637,36,109,106699,27,126,35,105,20,86,12,47,47,157,556
Henry,"Henry, Virginia",Virginia,14,20.546839456,26.427837322,39.641755983,39.641755983,23.482102235,13.208682507,20.546839456,27.151180709,18,52,68110,27,75,68137,27,70,16,48,9,36,14,36,36,111,317
Prince George,"Prince George, Virginia",Virginia,14,17.307240608,29.762642923,27.282422679,32.242863166,25.960860912,22.252166496,17.307240608,25.754822333,24,58,80638,22,70,80891,26,69,21,54,18,54,14,38,38,125,343
Montgomery,"Montgomery, Virginia",Virginia,16,16.224054188,32.440871443,40.551089304,55.757747793,35.490118537,25.350084669,16.224054188,34.307114586,32,125,98641,40,133,98619,55,167,35,124,25,84,16,51,51,203,684
Wise,"Wise, Virginia",Virginia,17,39.952996475,53.123917311,76.221272664,83.150479270,77.555816686,56.404230317,39.952996475,65.021543282,23,59,43295,33,65,42550,36,85,33,62,24,48,17,24,24,166,343
Pulaski,"Pulaski, Virginia",Virginia,18,35.378053814,41.689827682,59.556896689,53.601207020,29.481711512,35.378053814,35.378053814,42.257119833,21,47,50372,30,89,50879,27,67,15,52,18,37,18,35,35,129,327
Newport News,"Newport News, Virginia",Virginia,19,10.109555658,36.181375105,40.970086516,43.098402699,29.796585099,23.411602577,10.109555658,30.594707914,68,178,187942,77,232,187941,81,242,56,157,44,125,19,60,60,345,994
Rockingham,"Rockingham, Virginia",Virginia,22,17.279431978,22.881850747,44.185642822,37.084378797,29.060862872,21.992004336,17.279431978,28.668148509,29,104,126738,56,182,127319,47,171,37,123,28,95,22,77,77,219,752
Richmond City,"Richmond City, Virginia",Virginia,23,14.937004806,,,,28.575139629,24.678529679,14.937004806,31.714075421,50,171,,67,223,153980,71,232,44,148,38,140,23,74,74,293,988
Suffolk,"Suffolk, Virginia",Virginia,25,26.434326559,22.583316306,37.638860510,49.468216671,43.352295557,32.778564933,26.434326559,35.069539902,21,86,92989,35,119,94574,46,139,41,107,31,100,25,53,53,199,604
Hanover,"Hanover, Virginia",Virginia,27,17.956903432,37.677961084,32.295395215,34.986678149,19.287044427,31.923383879,17.956903432,28.819721557,56,164,148628,48,184,150360,52,176,29,146,48,121,27,94,94,260,885
Roanoke,"Roanoke, Virginia",Virginia,31,14.641288433,30.663704081,34.437698430,43.400935007,25.504179852,22.670382090,14.641288433,28.574127426,65,199,211977,73,236,211730,92,320,54,169,48,150,31,94,94,363,1168
Hampton,"Hampton, Virginia",Virginia,32,23.028043840,32.469875171,44.736272458,49.065589148,30.224307540,35.261692129,23.028043840,35.741443043,45,154,138590,62,204,138961,68,222,42,148,49,152,32,89,89,298,969
Norfolk,"Norfolk, Virginia",Virginia,32,13.503648095,35.631046798,34.792669227,44.853200087,27.851274196,24.475362172,13.503648095,30.312876713,85,245,238556,83,257,236973,107,326,66,211,58,154,32,98,98,431,1291
Spotsylvania,"Spotsylvania, Virginia",Virginia,33,24.324802453,35.457247612,45.264571420,49.791028562,53.072296261,33.170185163,24.324802453,39.681369658,47,149,132554,60,182,135664,66,200,72,176,45,126,33,110,110,323,943
Stafford,"Stafford, Virginia",Virginia,34,20.793072238,47.507720005,40.006501056,51.883431058,47.090193009,37.305217838,20.793072238,40.261095754,76,218,159974,64,203,163516,83,244,77,197,61,175,34,113,113,395,1150
Henrico,"Henrico, Virginia",Virginia,34,10.194657999,31.356090619,35.275601946,36.481605432,28.185230939,18.590258704,10.194657999,26.586068900,104,329,331674,117,370,333508,121,390,94,304,62,253,34,127,127,532,1773
Loudoun,"Loudoun, Virginia",Virginia,58,13.837759428,28.173187383,31.573399654,30.359038129,28.629847093,18.370818551,13.837759428,24.892061500,116,446,411739,130,446,419143,125,509,120,391,77,326,58,197,197,626,2315
Prince William,"Prince William, Virginia",Virginia,65,13.367911665,30.918058844,37.558178864,41.500750126,26.530163150,25.090541894,13.367911665,28.998085304,149,481,481919,181,581,486239,200,593,129,419,122,410,65,216,216,846,2700
Virginia Beach,"Virginia Beach, Virginia",Virginia,105,22.930770911,34.086588675,42.826739618,44.574769806,38.873116401,26.861760210,22.930770911,35.014923200,156,504,457658,196,598,457900,204,715,178,549,123,409,105,308,308,962,3083
