School Year,Division Number,Division Name,School Number,School Name,Total Count
2022-2023,1,Accomack County ,701,Accawmacke Elementary,              56
2022-2023,1,Accomack County ,540,Arcadia High,             107
2022-2023,1,Accomack County ,704,Arcadia Middle ,              78
2022-2023,1,Accomack County ,80,Chincoteague Elementary,              38
2022-2023,1,Accomack County ,580,Chincoteague High,              45
2022-2023,1,Accomack County ,600,Kegotank Elementary,              86
2022-2023,1,Accomack County ,702,Metompkin Elementary,              74
2022-2023,1,Accomack County ,70,Nandua High,              96
2022-2023,1,Accomack County ,703,Nandua Middle,              71
2022-2023,1,Accomack County ,590,Pungoteague Elementary,              76
2022-2023,1,Accomack County ,530,Tangier Combined,<
2022-2023,2,Albemarle County ,160,Agnor-Hurt Elementary,              56
2022-2023,2,Albemarle County ,880,Albemarle High,             213
2022-2023,2,Albemarle County ,1053,Baker-Butler Elem,             104
2022-2023,2,Albemarle County ,100,Broadus Wood Elementary,              41
2022-2023,2,Albemarle County ,941,Brownsville Elementary,              74
2022-2023,2,Albemarle County ,890,Community Lab School,              38
2022-2023,2,Albemarle County ,340,Crozet Elementary,              44
2022-2023,2,Albemarle County ,10,Hollymead Elementary,              55
2022-2023,2,Albemarle County ,69,Jackson P. Burley Middle,              85
2022-2023,2,Albemarle County ,942,Joseph T. Henley Middle,             107
2022-2023,2,Albemarle County ,950,Journey Middle,              97
2022-2023,2,Albemarle County ,1051,Lakeside Middle,              63
2022-2023,2,Albemarle County ,20,Leslie H. Walton Middle,              64
2022-2023,2,Albemarle County ,40,Mary Carr Greer Elementary,              74
2022-2023,2,Albemarle County ,250,Meriwether Lewis Elementary,              36
2022-2023,2,Albemarle County ,1052,Monticello High,             183
2022-2023,2,Albemarle County ,150,Mountain View Elementary,             100
2022-2023,2,Albemarle County ,540,Red Hill Elementary,              39
2022-2023,2,Albemarle County ,30,Scottsville Elementary,              33
2022-2023,2,Albemarle County ,920,Stone Robinson Elementary,              80
2022-2023,2,Albemarle County ,240,Stony Point Elementary,              22
2022-2023,2,Albemarle County ,910,Virginia L. Murray Elementary,              29
2022-2023,2,Albemarle County ,140,Western Albemarle High,             132
2022-2023,2,Albemarle County ,930,Woodbrook Elementary,              71
