X,Y,LATITUDE,LONGITUDE,PARAMETERS,OBJECTID,STREAM_NAME,STATION_DESCRIPTION,STATION,SURVEY_PROGRAM_CODES,STA_LV1_CODE,LV1_DESCRIPTION,STA_LV2_CODE,LV2_DESCRIPTION,STA_LV3_CODE,LV3_DESCRIPTION,STA_LV4_CODE,LV4_DESCRIPTION,STA_LV5_CODE,LV5_DESCRIPTION,HUC_12,HUC_12_NAME,VAHU5,VAHU6,DOWNSTREAM_HUC_12,VADEQ_ADMIN_REGION,MONITORING_REGION,STATION_ALIAS,STATION_COMMENT,FIRST_SAMPLE_DATE,LAST_SAMPLE_DATE,SAMPLE_COUNT,FIRST_FISH_DATE,LAST_FISH_DATE,FISH_COUNT,FIRST_BENTHIC_DATE,LAST_BENTHIC_DATE,BENTHIC_N,WQX_DESCRIPTION,WQX_LOCATION
-8718221.5848,4719219.7193,38.982881,-78.317117,"AL=Benthic_Algae, Field_Parameters.",1,"Shenandoah River, North Fork",Upstream Confluence With Cedar Creek,1BNFS007.93,AL,STREAM,"Station sample at stream(freshwater,freeflow,surface water)",AMBNT,Monitor ambient conditions of environment,SSTUDY,Special Study Station,,,,,020700060703,North Fork Shenandoah River-Molly Booth Run,PS-Q,PS78,020700070102,Valley,VRO,,Filamentous algae sample transect,08/22/2019,07/29/2021,2,,,,,,,River/Stream,A body of water with surface water flowing within the bed and banks of a channel.
-8722005.792,4717784.9048,38.972861111,-78.351111111,"AL=Benthic_Algae, Field_Parameters.",2,"Shenandoah River, North Fork",Strasburg Town Park,1BNFS011.81,AL,STREAM,"Station sample at stream(freshwater,freeflow,surface water)",AMBNT,Monitor ambient conditions of environment,SSTUDY,Special Study Station,,,,,020700060503,North Fork Shenandoah River-Tumbling Run,PS-O,PS70,020700060703,Valley,VRO,,,05/20/2005,10/23/2024,99,05/21/2020,07/24/2024,4,,,,River/Stream,A body of water with surface water flowing within the bed and banks of a channel.
-8729117.8706,4708859.5618,38.9105,-78.415,"AL=Benthic_Algae, Field_Parameters.",3,"Shenandoah River, North Fork",Bear Paw Lane Bridge,1BNFS028.66,AL,STREAM,"Station sample at stream(freshwater,freeflow,surface water)",AMBNT,Monitor ambient conditions of environment,SSTUDY,Special Study Station,,,,,020700060502,North Fork Shenandoah River-Toms Brook,PS-O,PS69,020700060503,Valley,VRO,,Filamentous algae transect,08/13/2019,07/13/2023,2,,,,,,,River/Stream,A body of water with surface water flowing within the bed and banks of a channel.
-8706547.5098,4708389.0463,38.907211,-78.212247,"AL=Benthic_Algae, Field_Parameters.",4,"Shenandoah River, South Fork",U.S. Luray Landing In Front Royal,1BSSF004.03,AL,STREAM,"Station sample at stream(freshwater,freeflow,surface water)",AMBNT,Monitor ambient conditions of environment,AWTSHD,Ambient Watershed Station,,,,,020700051004,South Fork Shenandoah River-Punches Run,PS-J,PS47,020700070102,Valley,VRO,,,08/06/2019,12/18/2024,28,,,,,,,River/Stream,A body of water with surface water flowing within the bed and banks of a channel.
-8721501.725,4698060.2199,38.834972,-78.346583,"AL=Benthic_Algae, Field_Parameters.",5,"Shenandoah River, South Fork",1/2 Mile Downstream Hazard Mill Launch,1BSSF022.71,AL,STREAM,"Station sample at stream(freshwater,freeflow,surface water)",AMBNT,Monitor ambient conditions of environment,SSTUDY,Special Study Station,,,,,020700051002,South Fork Shenandoah River-Brown Hollow Run,PS-J,PS45,020700051004,Valley,VRO,,Targeted station for nuisance algae monitoring,,,,,,,,,,River/Stream,A body of water with surface water flowing within the bed and banks of a channel.
-8737782.2376,4703277.7574,38.871472223,-78.492833333,"AL=Benthic_Algae, Field_Parameters.  HF=High_frequency_bacteria, Field_Parameters.",6,"Shenandoah River, North Fork",Lupton Bridge Near Woodstock,1BNFS046.79,AL HF,STREAM,"Station sample at stream(freshwater,freeflow,surface water)",AMBNT,Monitor ambient conditions of environment,SSTUDY,Special Study Station,,,,,020700060501,North Fork Shenandoah River-Narrow Passage Creek,PS-O,PS68,020700060502,Valley,VRO,,,03/17/2007,10/23/2024,67,,,,,,,River/Stream,A body of water with surface water flowing within the bed and banks of a channel.
-8544998.5497,4601127.0209,38.153458,-76.761028,"AW=Nutrients, Bacteria, Field_Parameters.",7,Currioman Bay,Currioman Bay At Public Landing,1ACRB001.88,AW,ESTURY,Station sample at estuary (freshwater mix with saltwater),AMBNT,Monitor ambient conditions of environment,AWTSHD,Ambient Watershed Station,,,,,020700110802,Potomac River-Nomini Bay,PL-T,PL69,020700111001,Piedmont,PRO,,2021 AW site,01/13/2021,12/13/2021,15,,,,,,,Estuary,"a partially enclosed coastal body of brackish water with one or more rivers or streams flowing into it, and with a free connection to the open sea Estuaries form a transition zone between river environments and maritime environments. The sea water entering the estuary is diluted by the fresh water flowing from rivers and streams."
-8577568.7527,4608386.7008,38.204722222,-77.053611111,"AW=Nutrients, Bacteria, Field_Parameters.",8,Mattox Creek,"Mattox Creek, Rt. 627",1AMAO007.46,AW,STREAM,"Station sample at stream(freshwater,freeflow,surface water)",AMBNT,Monitor ambient conditions of environment,AWTSHD,Ambient Watershed Station,,,,,020700110603,Mattox Creek,PL-S,PL66,020700110604,Northern,PRO,,,04/17/1996,12/12/2017,90,,,,,,,River/Stream,A body of water with surface water flowing within the bed and banks of a channel.
-8665201.9296,4721249.815,38.997055556,-77.840833333,"AW=Nutrients, Bacteria, Field_Parameters.",9,Panther Skin Creek,Rt. 623  (Willisville Rd),1APAE002.54,AW,STREAM,"Station sample at stream(freshwater,freeflow,surface water)",AMBNT,Monitor ambient conditions of environment,AWTSHD,Ambient Watershed Station,,,,,020700080503,Panther Skin Creek,PL-D,PL08,020700080505,Northern,NVRO,,Watershed staion CY09/10  -  jst,02/03/2009,01/04/2011,12,,,,,,,River/Stream,A body of water with surface water flowing within the bed and banks of a channel.
-8579847.71,4616861.6209,38.264522222,-77.074083333,"AW=Nutrients, Bacteria, Field_Parameters.",10,Pine Hill Creek,Pine Hill Creek At Rt. 620,1APIN003.08,AW,STREAM,"Station sample at stream(freshwater,freeflow,surface water)",AMBNT,Monitor ambient conditions of environment,SSTUDY,Special Study Station,,,,,020700110602,Potomac River-Rosier Creek,PL-S,PL65,020700111001,Northern,PRO,,Coord. DHS 27Feb01,02/10/1975,12/17/2019,38,,,,,,,River/Stream,A body of water with surface water flowing within the bed and banks of a channel.
-8716903.6486,4784214.5606,39.435277778,-78.305277777,"AW=Nutrients, Bacteria, Field_Parameters.",11,Sleepy Creek,Rt. 697 Bridge Near Va - W Va Line,1ASLP034.20,AW,STREAM,"Station sample at stream(freshwater,freeflow,surface water)",AMBNT,Monitor ambient conditions of environment,AWTSHD,Ambient Watershed Station,,,,,020700040201,Upper Sleepy Creek,PU-E,PU08,020700040203,Valley,VRO,,,03/04/1970,12/16/2019,119,,,,,,,River/Stream,A body of water with surface water flowing within the bed and banks of a channel.
-8850858.1026,4647733.9062,38.481944445,-79.508611111,"AW=Nutrients, Bacteria, Field_Parameters.",12,Strait Creek,Rt. 625 Bridge ( Highland County),1ASTC000.02,AW,STREAM,"Station sample at stream(freshwater,freeflow,surface water)",AMBNT,Monitor ambient conditions of environment,AWTSHD,Ambient Watershed Station,,,,,020700010302,Strait Creek,PU-B,PU03,020700010303,Valley,VRO,,,07/31/1991,12/03/2020,72,,,,,,,River/Stream,A body of water with surface water flowing within the bed and banks of a channel.
-8798831.7017,4640302.432,38.429667,-79.04125,"AW=Nutrients, Bacteria, Field_Parameters.",13,Beaver Creek,Route 257/613 (Briery Branch Road),1BBVR001.84,AW,STREAM,"Station sample at stream(freshwater,freeflow,surface water)",AMBNT,Monitor ambient conditions of environment,AWTSHD,Ambient Watershed Station,,,,,020700050403,Briery Branch,PS-D,PS14,020700050405,Valley,VRO,,,01/30/2024,12/18/2024,12,,,,,,,River/Stream,A body of water with surface water flowing within the bed and banks of a channel.
-8800702.4876,4642718.4204,38.446666667,-79.058055556,"AW=Nutrients, Bacteria, Field_Parameters.",14,Beaver Creek,Rt. 731 Bridge,1BBVR003.60,AW,STREAM,"Station sample at stream(freshwater,freeflow,surface water)",AMBNT,Monitor ambient conditions of environment,AWTSHD,Ambient Watershed Station,,,BIO,Biological Monitoring Site,020700050403,Briery Branch,PS-D,PS14,020700050405,Valley,VRO,,,09/07/1994,12/18/2024,54,,,,05/08/1997,10/25/2012,9,River/Stream,A body of water with surface water flowing within the bed and banks of a channel.
-8812258.0691,4631058.0094,38.364583333,-79.161861111,"AW=Nutrients, Bacteria, Field_Parameters.",15,Little River,Rt. 718 Bridge,1BLTT000.07,AW,STREAM,"Station sample at stream(freshwater,freeflow,surface water)",AMBNT,Monitor ambient conditions of environment,AWTSHD,Ambient Watershed Station,,,,,020700050402,Little River,PS-D,PS13,020700050405,Valley,VRO,,,02/20/2007,12/03/2019,34,,,,,,,River/Stream,A body of water with surface water flowing within the bed and banks of a channel.
-8792075.227,4640626.0687,38.431944444,-78.980555555,"AW=Nutrients, Bacteria, Field_Parameters.",16,Muddy Creek,Route 737 Bridge,1BMDD000.40,AW,STREAM,"Station sample at stream(freshwater,freeflow,surface water)",AMBNT,Monitor ambient conditions of environment,AWTSHD,Ambient Watershed Station,,,,,020700050503,Muddy Creek,PS-E,PS19,020700050504,Valley,VRO,MD-737,,07/02/1991,12/06/2021,288,,,,,,,River/Stream,A body of water with surface water flowing within the bed and banks of a channel.
-8818575.4502,4599457.9369,38.141666666,-79.218611111,"AW=Nutrients, Bacteria, Field_Parameters.",17,Middle River,Rt. 705 Bridge,1BMDL060.48,AW,STREAM,"Station sample at stream(freshwater,freeflow,surface water)",AMBNT,Monitor ambient conditions of environment,AWTSHD,Ambient Watershed Station,,,,,020700050101,Middle River-Edison Creek,PS-A,PS01,020700050102,Valley,VRO,,,04/20/1999,12/08/2021,204,,,,05/28/2013,09/30/2013,4,River/Stream,A body of water with surface water flowing within the bed and banks of a channel.
-8805588.1763,4615236.0124,38.253055555,-79.101944444,"AW=Nutrients, Bacteria, Field_Parameters.",18,Moffett Creek,Rt. 733 Bridge,1BMFT001.43,AW,STREAM,"Station sample at stream(freshwater,freeflow,surface water)",AMBNT,Monitor ambient conditions of environment,AWTSHD,Ambient Watershed Station,,,,,020700050105,Moffett Creek,PS-A,PS05,020700050302,Valley,VRO,,,08/20/2001,12/19/2016,54,,,,,,,River/Stream,A body of water with surface water flowing within the bed and banks of a channel.
-8745940.1009,4694258.7968,38.808366666,-78.566116666,"AW=Nutrients, Bacteria, Field_Parameters.",19,"Shenandoah River, North Fork","Rt. 698 Bridge, S Of Edinburg",1BNFS062.18,AW,STREAM,"Station sample at stream(freshwater,freeflow,surface water)",AMBNT,Monitor ambient conditions of environment,AWTSHD,Ambient Watershed Station,,,,,020700060306,North Fork Shenandoah River-Mt Jackson,PS-M,PS64,020700060501,Valley,VRO,,,07/18/1968,06/24/2019,130,,,,,,,River/Stream,A body of water with surface water flowing within the bed and banks of a channel.
-8812384.8497,4630943.6413,38.363777778,-79.163,"AW=Nutrients, Bacteria, Field_Parameters.",20,North River,Off Rt. 718 At Camp May Flather Pool,1BNTH037.23,AW,STREAM,"Station sample at stream(freshwater,freeflow,surface water)",AMBNT,Monitor ambient conditions of environment,AWTSHD,Ambient Watershed Station,,,,,020700050401,North River-Skidmore Fork,PS-D,PS12,020700050405,Valley,VRO,,,02/20/2007,12/10/2015,25,,,,,,,River/Stream,A body of water with surface water flowing within the bed and banks of a channel.
-8679055.0218,4736244.9306,39.101666667,-77.965277778,"AW=Nutrients, Bacteria, Field_Parameters.",21,Shenandoah River,Lockes Landing Boat Launch,1BSHN028.15,AW,STREAM,"Station sample at stream(freshwater,freeflow,surface water)",AMBNT,Monitor ambient conditions of environment,AWTSHD,Ambient Watershed Station,,,,,020700070202,Shenandoah River-Dog Run,PS-S,PS85,020700070303,Valley,VRO,,,07/27/2005,09/19/2023,60,09/09/2020,05/15/2024,6,,,,River/Stream,A body of water with surface water flowing within the bed and banks of a channel.
-8753762.7689,4680533.3061,38.712222222,-78.636388889,"AW=Nutrients, Bacteria, Field_Parameters.",22,Smith Creek,Rt. 730 Bridge,1BSMT001.42,AW,STREAM,"Station sample at stream(freshwater,freeflow,surface water)",AMBNT,Monitor ambient conditions of environment,AWTSHD,Ambient Watershed Station,,,,,020700060204,Smith Creek-Gap Creek,PS-L,PS62,020700060306,Valley,VRO,,,07/25/2005,12/09/2009,16,,,,,,,River/Stream,A body of water with surface water flowing within the bed and banks of a channel.
-8727340.8775,4719562.9917,38.985278,-78.399037,"AW=Nutrients, Bacteria, Field_Parameters.",23,Tumbling Run,Rt. 757 Bridge,1BTBL001.27,AW,STREAM,"Station sample at stream(freshwater,freeflow,surface water)",AMBNT,Monitor ambient conditions of environment,AWTSHD,Ambient Watershed Station,,,,,020700060503,North Fork Shenandoah River-Tumbling Run,PS-O,PS70,020700060703,Valley,VRO,,,04/13/1999,12/19/2018,42,,,,,,,River/Stream,A body of water with surface water flowing within the bed and banks of a channel.
-8693466.2575,4501271.7203,37.444677778,-78.094736111,"AW=Nutrients, Bacteria, Field_Parameters.",24,Appomattox River,"App R., Rt. 681 Clementown Mills",2-APP081.04,AW,STREAM,"Station sample at stream(freshwater,freeflow,surface water)",AMBNT,Monitor ambient conditions of environment,AWTSHD,Ambient Watershed Station,,,,,020802070601,Appomattox River-Bent Creek,JA-F,JA21,020802070603,Piedmont,PRO,,Coord. DHS 28Feb01,07/17/1991,01/02/2025,69,,,,05/30/2013,10/31/2013,4,River/Stream,A body of water with surface water flowing within the bed and banks of a channel.
-8910509.1959,4514115.8238,37.536227,-80.044466,"AW=Nutrients, Bacteria, Field_Parameters.",25,Barbours Creek,Rt. 614 Bridge,2-BAR000.60,AW,STREAM,"Station sample at stream(freshwater,freeflow,surface water)",AMBNT,Monitor ambient conditions of environment,SSTUDY,Special Study Station,,,,,020802011202,Barbours Creek,JU-L,JU47,020802011203,Blue Ridge,BRRO,,,10/09/1996,12/14/2020,48,,,,,,,River/Stream,A body of water with surface water flowing within the bed and banks of a channel.
