Year,Condition,Geography Level,Geography Value,FIPS,Annual Case Count,Incidence Rate
2024,Amebiasis,Health Planning Region,Central,NA,5,0.3
2024,Amebiasis,Health Planning Region,Eastern,NA,1,0.1
2024,Amebiasis,Health Planning Region,Northern,NA,14,0.5
2024,Amebiasis,Health Planning Region,Northwest,NA,1,0.1
2024,Amebiasis,Health Planning Region,Southwest,NA,0,0
2024,Amebiasis,State,Virginia,NA,21,0.2
2024,Anthrax,Health Planning Region,Central,NA,0,0
2024,Anthrax,Health Planning Region,Eastern,NA,0,0
2024,Anthrax,Health Planning Region,Northern,NA,0,0
2024,Anthrax,Health Planning Region,Northwest,NA,0,0
2024,Anthrax,Health Planning Region,Southwest,NA,0,0
2024,Anthrax,State,Virginia,NA,0,0
2024,Arboviral infection - Dengue,Health Planning Region,Central,NA,5,0.3
2024,Arboviral infection - Dengue,Health Planning Region,Eastern,NA,5,0.3
2024,Arboviral infection - Dengue,Health Planning Region,Northern,NA,31,1.2
2024,Arboviral infection - Dengue,Health Planning Region,Northwest,NA,4,0.3
2024,Arboviral infection - Dengue,Health Planning Region,Southwest,NA,2,0.2
2024,Arboviral infection - Dengue,State,Virginia,NA,47,0.5
2024,Arboviral infection - Other,Health Planning Region,Central,NA,2,0.1
2024,Arboviral infection - Other,Health Planning Region,Eastern,NA,0,0
2024,Arboviral infection - Other,Health Planning Region,Northern,NA,11,0.4
2024,Arboviral infection - Other,Health Planning Region,Northwest,NA,0,0
2024,Arboviral infection - Other,Health Planning Region,Southwest,NA,0,0
2024,Arboviral infection - Other,State,Virginia,NA,13,0.1
2024,Arboviral infection - West Nile Virus,Health Planning Region,Central,NA,1,0.1
2024,Arboviral infection - West Nile Virus,Health Planning Region,Eastern,NA,2,0.1
2024,Arboviral infection - West Nile Virus,Health Planning Region,Northern,NA,2,0.1
2024,Gonorrhea,Locality,Norfolk,51710,1108,479.8
2024,Arboviral infection - West Nile Virus,Health Planning Region,Northwest,NA,3,0.2
2024,Gonorrhea,Locality,Norton,51720,0,0
2024,Arboviral infection - West Nile Virus,Health Planning Region,Southwest,NA,1,0.1
2024,Gonorrhea,Locality,Petersburg,51730,278,834.6
2024,Arboviral infection - West Nile Virus,State,Virginia,NA,9,0.1
2024,Gonorrhea,Locality,Poquoson,51735,4,31.7
2024,Arboviral infection - Zika Virus,Health Planning Region,Central,NA,0,0
2024,Gonorrhea,Locality,Portsmouth,51740,527,544.5
2024,Arboviral infection - Zika Virus,Health Planning Region,Eastern,NA,0,0
