OBJECTID,VAPID,LandmkName,Address,City,State,Zip,Phone,URL,X,Y,LOC,LastCheck,PlaceType,SrcTyp,Src,FIPScode,FIPSname
383,51095000010684,"Advanced Vision Surgery Center, LLC",5215 Monticello Avenue,Williamsburg,VA,23188,-,https://www.midatlanticeyecare.com/location/mid-atlantic-eye-care-surgery-center/,-76.74465009,37.2757775,AP,2025/11/13 00:00:00+00,Hospital Points,Outpatient Surgical Hospital,VDH,51095,James City County
384,51087000092326,Azura Surgery Center River City,"2235 Staples Mill Road, Suite 104",Richmond,VA,23230,-,https://www.azuravascularcare.com/center/azura-vascular-care-river-city/,-77.49189149,37.58960852,AP,2025/11/13 00:00:00+00,Hospital Points,Outpatient Surgical Hospital,VDH,51087,Henrico County
385,51015000019313,Augusta Health - Main Campus,78 Medical Center Drive,Fishersville,VA,22939,-,https://www.augustahealth.com/patients-visitors/visitor-resources/locations/,-78.98684796,38.09451611,AP,2025/11/13 00:00:00+00,Hospital Points,Inpatient Hospital,VDH,51015,Augusta County
386,51017000002864,Bath Community Hospital,106 Park Dr,Hot Springs,VA,24445,-,https://bathhospital.org/,-79.83182106,37.99292349,AP,2025/11/13 00:00:00+00,Hospital Points,Inpatient Hospital,VDH,51017,Bath County
387,51800000013469,Lakeview Medical Center,2000 Meade Parkway,Suffolk,VA,23434,-,-,-76.59531498,36.76115031,AP,2025/11/13 00:00:00+00,Hospital Points,Outpatient Surgical Hospital,VDH,51800,Suffolk City
388,51055440003440,Centra Bedford Memorial Hospital,1613 Oakwood Street,Bedford,VA,24523,-,https://www.centrahealth.com/locations/centra-bedford-memorial-hospital,-79.51734951,37.35134659,AP,2025/11/13 00:00:00+00,Hospital Points,Inpatient Hospital,VDH,5105544,Bedford Town
389,51775000008185,Blue Ridge Surgery Center,1802 Braeburn Drive,Salem,VA,24153,-,https://blueridgesurgeryctr.com/,-80.03032846,37.2628365,AP,2025/11/13 00:00:00+00,Hospital Points,Outpatient Surgical Hospital,VDH,51775,Salem City
390,51700000025701,Bon Secours Mary Immaculate Hospital,2 Bernardine Drive,Newport News,VA,23602,-,https://www.bonsecours.com/locations/hospitals-medical-centers/hampton-roads/bon-secours-mary-immaculate-hospital,-76.5116094,37.14448148,AP,2025/11/13 00:00:00+00,Hospital Points,Inpatient Hospital,VDH,51700,Newport News City
391,51740000019432,Bon Secours Maryview Medical Center,3636 High Street,Portsmouth,VA,23707,-,https://www.bonsecours.com/locations/hospitals-medical-centers/hampton-roads/bon-secours-maryview-medical-center,-76.34791531,36.83718264,AP,2025/11/13 00:00:00+00,Hospital Points,Inpatient Hospital,VDH,51740,Portsmouth City
392,51085000021757,Bon Secours Memorial Regional Medical Center,8260 Atlee Road,Mechanicsville,VA,23116,-,https://www.bonsecours.com/locations/hospitals-medical-centers/richmond/memorial-regional-medical-center,-77.38643244,37.62901281,AP,2025/11/13 00:00:00+00,Hospital Points,Inpatient Hospital,VDH,51085,Hanover County
393,51103000004363,Rappahannock General Hospital,101 Harris Road,Kilmarnock,VA,22482,-,https://www.bonsecours.com/locations/hospitals-medical-centers/richmond/rappahannock-general-hospital,-76.38710578,37.7011307,AP,2025/11/13 00:00:00+00,Hospital Points,Inpatient Hospital,System,51103,Lancaster County
394,51760000086038,Bon Secours - Richmond Community Hospital,1500 North 28th Street,Richmond,VA,23223,-,https://www.bonsecours.com/locations/hospitals-medical-centers/richmond/richmond-community-hospital,-77.40658794,37.5402777,AP,2025/11/13 00:00:00+00,Hospital Points,Inpatient Hospital,VDH,51760,Richmond City
395,51620000002844,Bon Secours Southampton Medical Center,100 Fairview Drive,Franklin,VA,23851,-,https://www.bonsecours.com/locations/hospitals-medical-centers/hampton-roads/southampton-memorial-hospital,-76.93742025,36.69199479,AP,2025/11/13 00:00:00+00,Hospital Points,Inpatient Hospital,VDH,51620,Franklin City
396,51595000001428,Bon Secours Southern Virginia Medical Center,727 North Main Street,Emporia,VA,23847,-,https://www.bonsecours.com/locations/hospitals-medical-centers/richmond/southern-virginia-regional-medical-center,-77.53768533,36.70159571,AP,2025/11/13 00:00:00+00,Hospital Points,Inpatient Hospital,VDH,51595,Emporia City
397,51730000010811,Bon Secours Southside Medical Center,200 Medical Park Boulevard,Petersburg,VA,23805,-,https://www.bonsecours.com/locations/hospitals-medical-centers/richmond/southside-regional-medical-center,-77.35878498,37.18278373,AP,2025/11/13 00:00:00+00,Hospital Points,Inpatient Hospital,VDH,51730,Petersburg City
